会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/4/2,1,1,1,3843,上之晃弘,finish,64,55,6.80,1,0.06,1.50.0,1-3-2,1320,1-2-3,370,1-3,370,1-3,620
大村,2026/4/2,1,2,3,4329,小松卓司,finish,41,33,6.84,3,0.05,1.51.0,1-3-2,1320,1-2-3,370,1-3,370,1-3,620
大村,2026/4/2,1,3,2,4895,門間雄大,finish,24,21,6.82,2,0.08,1.52.5,1-3-2,1320,1-2-3,370,1-3,370,1-3,620
大村,2026/4/2,1,4,5,4676,後藤隼之,finish,22,22,6.85,4,0.10,1.53.2,1-3-2,1320,1-2-3,370,1-3,370,1-3,620
大村,2026/4/2,1,5,4,5376,吉田一心,finish,28,68,6.85,5,0.18,. .,1-3-2,1320,1-2-3,370,1-3,370,1-3,620
大村,2026/4/2,1,6,6,5438,星田夢結,finish,14,15,6.85,6,0.16,. .,1-3-2,1320,1-2-3,370,1-3,370,1-3,620
大村,2026/4/2,2,1,2,4708,半田尚也,finish,30,41,6.91,2,0.13,1.50.1,2-3-1,12910,1-2-3,200,2-3,5650,2-3,1640
大村,2026/4/2,2,2,3,4152,深水慎一郎,finish,62,30,6.81,3,0.07,1.51.6,2-3-1,12910,1-2-3,200,2-3,5650,2-3,1640
大村,2026/4/2,2,3,1,3933,山地正樹,finish,60,43,6.84,1,0.13,1.53.3,2-3-1,12910,1-2-3,200,2-3,5650,2-3,1640
大村,2026/4/2,2,4,4,3776,横井健太,finish,12,75,6.89,4,0.14,1.54.6,2-3-1,12910,1-2-3,200,2-3,5650,2-3,1640
大村,2026/4/2,2,5,5,5123,福山恵里奈,finish,66,35,6.82,5,0.03,. .,2-3-1,12910,1-2-3,200,2-3,5650,2-3,1640
大村,2026/4/2,2,,6,5409,宮本琉正,F,,,,,,,,,,,,,,
大村,2026/4/2,3,1,6,3629,浅見昌克,finish,43,63,6.91,4,0.04,1.49.2,6-5-2,7880,2-5-6,1270,6-5,2080,5-6,2130
大村,2026/4/2,3,2,5,5049,松井友汰,finish,69,45,6.87,5,0.07,1.51.0,6-5-2,7880,2-5-6,1270,6-5,2080,5-6,2130
大村,2026/4/2,3,3,2,3054,北川幸典,finish,38,54,6.82,2,0.19,1.52.3,6-5-2,7880,2-5-6,1270,6-5,2080,5-6,2130
大村,2026/4/2,3,4,4,4023,柴田友和,finish,16,25,6.94,6,0.09,1.54.8,6-5-2,7880,2-5-6,1270,6-5,2080,5-6,2130
大村,2026/4/2,3,5,1,4164,岩永節也,finish,15,70,6.86,1,0.16,. .,6-5-2,7880,2-5-6,1270,6-5,2080,5-6,2130
大村,2026/4/2,3,6,3,2538,高橋二朗,finish,18,23,6.88,3,0.23,. .,6-5-2,7880,2-5-6,1270,6-5,2080,5-6,2130
大村,2026/4/2,4,1,1,5086,本村大,finish,65,50,6.74,1,0.20,1.50.0,1-4-3,5300,1-3-4,1890,1-4,1030,1-4,540
大村,2026/4/2,4,2,4,3621,天野晶夫,finish,46,74,6.83,4,0.07,1.50.9,1-4-3,5300,1-3-4,1890,1-4,1030,1-4,540
大村,2026/4/2,4,3,3,4782,浜崎準也,finish,27,51,6.85,3,0.08,1.52.3,1-4-3,5300,1-3-4,1890,1-4,1030,1-4,540
大村,2026/4/2,4,4,6,3352,小川晃司,finish,53,66,6.89,6,0.20,1.53.7,1-4-3,5300,1-3-4,1890,1-4,1030,1-4,540
大村,2026/4/2,4,5,5,5087,佐藤航,finish,71,29,6.80,5,0.10,. .,1-4-3,5300,1-3-4,1890,1-4,1030,1-4,540
大村,2026/4/2,4,6,2,4555,富永大一,finish,39,36,6.81,2,0.10,. .,1-4-3,5300,1-3-4,1890,1-4,1030,1-4,540
大村,2026/4/2,5,1,1,3848,川上聡介,finish,20,17,6.87,1,0.06,1.49.5,1-3-6,1330,1-3-6,610,1-3,490,1-3,550
大村,2026/4/2,5,2,3,5376,吉田一心,finish,28,68,6.91,3,0.11,1.50.5,1-3-6,1330,1-3-6,610,1-3,490,1-3,550
大村,2026/4/2,5,3,6,4515,藤田浩人,finish,49,40,6.80,6,0.12,1.52.2,1-3-6,1330,1-3-6,610,1-3,490,1-3,550
大村,2026/4/2,5,4,5,5291,三嶌こころ,finish,40,49,6.87,5,0.16,1.52.3,1-3-6,1330,1-3-6,610,1-3,490,1-3,550
大村,2026/4/2,5,5,4,3860,松本浩貴,finish,48,47,6.87,4,0.21,. .,1-3-6,1330,1-3-6,610,1-3,490,1-3,550
大村,2026/4/2,5,6,2,3564,桑原啓,finish,33,19,6.85,2,0.11,. .,1-3-6,1330,1-3-6,610,1-3,490,1-3,550
大村,2026/4/2,6,1,4,3843,上之晃弘,finish,64,55,6.90,4,0.09,1.49.7,4-1-5,13800,1-4-5,2160,4-1,1290,1-4,330
大村,2026/4/2,6,2,1,3473,石川真二,finish,35,24,6.89,1,0.21,1.51.1,4-1-5,13800,1-4-5,2160,4-1,1290,1-4,330
大村,2026/4/2,6,3,5,5409,宮本琉正,finish,50,61,6.94,5,0.06,1.53.0,4-1-5,13800,1-4-5,2160,4-1,1290,1-4,330
大村,2026/4/2,6,4,2,5310,土屋蘭,finish,58,78,6.90,2,0.27,1.53.3,4-1-5,13800,1-4-5,2160,4-1,1290,1-4,330
大村,2026/4/2,6,5,3,4014,片岡恵里,finish,21,18,6.79,3,0.27,. .,4-1-5,13800,1-4-5,2160,4-1,1290,1-4,330
大村,2026/4/2,6,6,6,5428,古園井綾南,finish,44,77,6.82,6,0.06,. .,4-1-5,13800,1-4-5,2160,4-1,1290,1-4,330
大村,2026/4/2,7,1,1,4535,北山康介,finish,74,52,6.83,1,0.15,1.48.6,1-4-2,1900,1-2-4,740,1-4,660,1-4,390
大村,2026/4/2,7,2,4,4708,半田尚也,finish,30,41,6.96,4,0.09,1.51.6,1-4-2,1900,1-2-4,740,1-4,660,1-4,390
大村,2026/4/2,7,3,2,4023,柴田友和,finish,16,25,6.89,2,0.16,1.53.7,1-4-2,1900,1-2-4,740,1-4,660,1-4,390
大村,2026/4/2,7,4,5,5438,星田夢結,finish,14,15,6.91,5,0.16,1.54.8,1-4-2,1900,1-2-4,740,1-4,660,1-4,390
大村,2026/4/2,7,5,3,4949,横田貴満,finish,26,11,6.85,3,0.13,. .,1-4-2,1900,1-2-4,740,1-4,660,1-4,390
大村,2026/4/2,7,6,6,5342,原村百那,finish,47,62,6.82,6,0.11,. .,1-4-2,1900,1-2-4,740,1-4,660,1-4,390
大村,2026/4/2,8,1,1,4958,溝口海義也,finish,34,59,6.74,1,0.15,1.50.5,1-6-2,2910,1-2-6,1320,1-6,800,1-6,710
大村,2026/4/2,8,2,6,5086,本村大,finish,65,50,6.77,6,0.08,1.51.5,1-6-2,2910,1-2-6,1320,1-6,800,1-6,710
大村,2026/4/2,8,3,2,2538,高橋二朗,finish,18,23,6.88,2,0.20,1.52.1,1-6-2,2910,1-2-6,1320,1-6,800,1-6,710
大村,2026/4/2,8,4,5,4572,渡部悟,finish,63,60,6.96,5,0.13,1.54.1,1-6-2,2910,1-2-6,1320,1-6,800,1-6,710
大村,2026/4/2,8,5,4,4329,小松卓司,finish,41,33,6.89,4,0.29,. .,1-6-2,2910,1-2-6,1320,1-6,800,1-6,710
大村,2026/4/2,8,6,3,5123,福山恵里奈,finish,66,35,6.87,3,0.18,. .,1-6-2,2910,1-2-6,1320,1-6,800,1-6,710
大村,2026/4/2,9,1,1,5049,松井友汰,finish,69,45,6.85,1,0.14,1.49.5,1-4-3,790,1-3-4,240,1-4,320,1-4,320
大村,2026/4/2,9,2,4,5054,佐々木大河,finish,13,56,6.76,4,0.14,1.50.8,1-4-3,790,1-3-4,240,1-4,320,1-4,320
大村,2026/4/2,9,3,3,4895,門間雄大,finish,24,21,6.87,3,0.21,1.52.1,1-4-3,790,1-3-4,240,1-4,320,1-4,320
大村,2026/4/2,9,4,2,3860,松本浩貴,finish,48,47,6.81,2,0.23,1.53.5,1-4-3,790,1-3-4,240,1-4,320,1-4,320
大村,2026/4/2,9,5,5,4782,浜崎準也,finish,27,51,6.87,5,0.20,. .,1-4-3,790,1-3-4,240,1-4,320,1-4,320
大村,2026/4/2,9,6,6,4164,岩永節也,finish,15,70,6.85,6,0.19,. .,1-4-3,790,1-3-4,240,1-4,320,1-4,320
大村,2026/4/2,10,1,1,4515,藤田浩人,finish,49,40,6.78,1,0.19,1.48.9,1-3-5,1720,1-3-5,1340,1-3,400,1-3,380
大村,2026/4/2,10,2,3,4676,後藤隼之,finish,22,22,6.87,3,0.19,1.50.8,1-3-5,1720,1-3-5,1340,1-3,400,1-3,380
大村,2026/4/2,10,3,5,4555,富永大一,finish,39,36,6.82,5,0.20,1.51.8,1-3-5,1720,1-3-5,1340,1-3,400,1-3,380
大村,2026/4/2,10,4,2,3629,浅見昌克,finish,43,63,6.82,2,0.20,1.53.4,1-3-5,1720,1-3-5,1340,1-3,400,1-3,380
大村,2026/4/2,10,5,4,4014,片岡恵里,finish,21,18,6.78,4,0.19,. .,1-3-5,1720,1-3-5,1340,1-3,400,1-3,380
大村,2026/4/2,10,6,6,4152,深水慎一郎,finish,62,30,6.84,6,0.22,. .,1-3-5,1720,1-3-5,1340,1-3,400,1-3,380
大村,2026/4/2,11,1,1,5087,佐藤航,finish,71,29,6.78,1,0.06,1.49.0,1-2-5,4410,1-2-5,2150,1-2,620,1-2,790
大村,2026/4/2,11,2,2,3933,山地正樹,finish,60,43,6.83,3,0.11,1.50.1,1-2-5,4410,1-2-5,2150,1-2,620,1-2,790
大村,2026/4/2,11,3,5,4535,北山康介,finish,74,52,6.85,6,0.13,1.51.3,1-2-5,4410,1-2-5,2150,1-2,620,1-2,790
大村,2026/4/2,11,4,6,3473,石川真二,finish,35,24,6.86,2,0.17,1.52.5,1-2-5,4410,1-2-5,2150,1-2,620,1-2,790
大村,2026/4/2,11,5,4,3848,川上聡介,finish,20,17,6.85,5,0.10,. .,1-2-5,4410,1-2-5,2150,1-2,620,1-2,790
大村,2026/4/2,11,6,3,4958,溝口海義也,finish,34,59,6.76,4,0.21,. .,1-2-5,4410,1-2-5,2150,1-2,620,1-2,790
大村,2026/4/2,12,1,3,5092,篠原晟弥,finish,29,12,6.76,3,0.02,1.55.4,3-2-6,18870,2-3-6,5440,3-2,3440,2-3,1500
大村,2026/4/2,12,2,2,4503,上野真之介,finish,17,27,6.84,1,0.13,1.58.8,3-2-6,18870,2-3-6,5440,3-2,3440,2-3,1500
大村,2026/4/2,12,3,6,4873,蒲原健太,finish,11,26,6.81,6,0.10,2.01.0,3-2-6,18870,2-3-6,5440,3-2,3440,2-3,1500
大村,2026/4/2,12,4,4,3822,平尾崇典,finish,25,53,6.83,4,0.03,2.02.8,3-2-6,18870,2-3-6,5440,3-2,3440,2-3,1500
大村,2026/4/2,12,5,1,4345,西舘健,finish,23,58,6.88,2,0.07,. .,3-2-6,18870,2-3-6,5440,3-2,3440,2-3,1500
大村,2026/4/2,12,,5,4994,山本梨菜,S1,,,,,,,,,,,,,,
唐津,2026/4/2,1,1,1,4607,鶴田勇雄,finish,26,6,6.71,1,0.14,1.48.8,1-3-5,560,1-3-5,340,1-3,250,1-3,140
唐津,2026/4/2,1,2,3,4911,片岡大地,finish,8,26,6.74,3,0.16,1.49.3,1-3-5,560,1-3-5,340,1-3,250,1-3,140
唐津,2026/4/2,1,3,5,3616,中村真,finish,38,45,6.77,5,0.23,1.51.6,1-3-5,560,1-3-5,340,1-3,250,1-3,140
唐津,2026/4/2,1,4,6,5417,小柳勝希,finish,59,43,6.72,6,0.20,1.52.6,1-3-5,560,1-3-5,340,1-3,250,1-3,140
唐津,2026/4/2,1,5,2,4651,佐藤大騎,finish,12,30,6.74,2,0.15,1.52.7,1-3-5,560,1-3-5,340,1-3,250,1-3,140
唐津,2026/4/2,1,6,4,4081,樋口範政,finish,58,5,6.76,4,0.22,1.53.8,1-3-5,560,1-3-5,340,1-3,250,1-3,140
唐津,2026/4/2,2,1,5,4648,木村亮太,finish,22,23,6.78,5,0.19,1.49.4,5-1-2,15570,1-2-5,480,5-1,5050,1-5,1130
唐津,2026/4/2,2,2,1,4521,小池公生,finish,30,42,6.72,1,0.36,1.50.6,5-1-2,15570,1-2-5,480,5-1,5050,1-5,1130
唐津,2026/4/2,2,3,2,3686,鳥居塚孝博,finish,55,56,6.64,2,0.33,1.52.0,5-1-2,15570,1-2-5,480,5-1,5050,1-5,1130
唐津,2026/4/2,2,4,6,5210,藤井公人,finish,49,16,6.78,6,0.23,1.53.4,5-1-2,15570,1-2-5,480,5-1,5050,1-5,1130
唐津,2026/4/2,2,5,4,5261,岡暢祐,finish,29,44,6.72,4,0.20,1.54.8,5-1-2,15570,1-2-5,480,5-1,5050,1-5,1130
唐津,2026/4/2,2,6,3,5312,川辺郭人,finish,6,49,6.71,3,0.29,1.56.2,5-1-2,15570,1-2-5,480,5-1,5050,1-5,1130
唐津,2026/4/2,3,1,5,5014,梶山涼斗,finish,52,60,6.69,5,0.08,1.49.4,5-1-3,9520,1-3-5,350,5-1,5370,1-5,1000
唐津,2026/4/2,3,2,1,3743,林美憲,finish,57,48,6.75,1,0.18,1.51.1,5-1-3,9520,1-3-5,350,5-1,5370,1-5,1000
唐津,2026/4/2,3,3,3,4953,尾上雅也,finish,39,14,6.70,3,0.13,1.52.0,5-1-3,9520,1-3-5,350,5-1,5370,1-5,1000
唐津,2026/4/2,3,4,6,5219,森口和紀,finish,53,29,6.78,6,0.11,1.52.5,5-1-3,9520,1-3-5,350,5-1,5370,1-5,1000
唐津,2026/4/2,3,5,2,3535,渡修平,finish,44,15,6.65,2,0.21,1.55.3,5-1-3,9520,1-3-5,350,5-1,5370,1-5,1000
唐津,2026/4/2,3,6,4,4565,西村豪洋,finish,56,25,6.72,4,0.08,1.55.8,5-1-3,9520,1-3-5,350,5-1,5370,1-5,1000
唐津,2026/4/2,4,1,1,3615,横田茂,finish,42,57,6.70,1,0.09,1.49.9,1-4-2,1630,1-2-4,690,1-4,480,1-4,350
唐津,2026/4/2,4,2,4,4787,椎名豊,finish,17,10,6.75,4,0.16,1.51.0,1-4-2,1630,1-2-4,690,1-4,480,1-4,350
唐津,2026/4/2,4,3,2,4047,吉永浩則,finish,1,3,6.72,2,0.06,1.52.5,1-4-2,1630,1-2-4,690,1-4,480,1-4,350
唐津,2026/4/2,4,4,6,5081,篠原飛翔,finish,31,32,6.69,6,0.14,1.53.0,1-4-2,1630,1-2-4,690,1-4,480,1-4,350
唐津,2026/4/2,4,5,3,3563,堤昇,finish,9,31,6.78,3,0.03,1.53.3,1-4-2,1630,1-2-4,690,1-4,480,1-4,350
