会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/2/19,1,1,1,3282,池本輝明,finish,53,61,6.80,1,0.16,1.50.1,逃げ,1-4-5,5650,1-4-5,1120,1-4,2830,1-4,1320
大村,2026/2/19,1,2,4,4511,中岡健人,finish,66,56,6.87,4,0.18,1.51.5,逃げ,1-4-5,5650,1-4-5,1120,1-4,2830,1-4,1320
大村,2026/2/19,1,3,5,4075,中野次郎,finish,57,36,6.79,5,0.18,1.52.9,逃げ,1-4-5,5650,1-4-5,1120,1-4,2830,1-4,1320
大村,2026/2/19,1,4,3,4171,榎幸司,finish,12,47,6.86,3,0.18,1.54.7,逃げ,1-4-5,5650,1-4-5,1120,1-4,2830,1-4,1320
大村,2026/2/19,1,5,6,3986,沖島広和,finish,43,21,6.79,6,0.18,. .,逃げ,1-4-5,5650,1-4-5,1120,1-4,2830,1-4,1320
大村,2026/2/19,1,,2,5254,羽田妃希,S1,,,,,,,,,,,,,,,
大村,2026/2/19,2,1,5,3813,佐藤大介,finish,69,52,6.83,5,0.09,1.48.6,まくり差し,5-3-1,4760,1-3-5,360,5-3,2110,3-5,860
大村,2026/2/19,2,2,3,4700,金子和之,finish,23,50,6.75,3,0.10,1.50.5,まくり差し,5-3-1,4760,1-3-5,360,5-3,2110,3-5,860
大村,2026/2/19,2,3,1,3773,津留浩一郎,finish,40,32,6.77,1,0.09,1.50.9,まくり差し,5-3-1,4760,1-3-5,360,5-3,2110,3-5,860
大村,2026/2/19,2,4,2,4623,中北将史,finish,13,35,6.76,2,0.05,1.53.4,まくり差し,5-3-1,4760,1-3-5,360,5-3,2110,3-5,860
大村,2026/2/19,2,5,6,3769,佐竹恒彦,finish,71,20,6.80,6,0.06,. .,まくり差し,5-3-1,4760,1-3-5,360,5-3,2110,3-5,860
大村,2026/2/19,2,6,4,5373,諏訪玲奈,finish,48,24,6.74,4,0.17,. .,まくり差し,5-3-1,4760,1-3-5,360,5-3,2110,3-5,860
大村,2026/2/19,3,1,1,4518,大須賀友,finish,62,54,6.76,1,0.11,1.48.2,逃げ,1-5-6,2020,1-5-6,1010,1-5,850,1-5,970
大村,2026/2/19,3,2,5,4661,中島昂章,finish,58,45,6.83,4,0.27,1.50.0,逃げ,1-5-6,2020,1-5-6,1010,1-5,850,1-5,970
大村,2026/2/19,3,3,6,4607,鶴田勇雄,finish,38,41,6.78,5,0.24,1.51.0,逃げ,1-5-6,2020,1-5-6,1010,1-5,850,1-5,970
大村,2026/2/19,3,4,2,4856,豊田健士郎,finish,67,14,6.80,2,0.16,1.52.3,逃げ,1-5-6,2020,1-5-6,1010,1-5,850,1-5,970
大村,2026/2/19,3,5,3,5326,三嶌さらら,finish,41,64,6.84,3,0.21,. .,逃げ,1-5-6,2020,1-5-6,1010,1-5,850,1-5,970
大村,2026/2/19,3,6,4,4213,重富伸也,finish,72,78,6.80,6,0.23,. .,逃げ,1-5-6,2020,1-5-6,1010,1-5,850,1-5,970
大村,2026/2/19,4,1,1,3482,金子猛志,finish,11,66,6.79,1,0.21,1.48.5,逃げ,1-4-5,1110,1-4-5,240,1-4,530,1-4,320
大村,2026/2/19,4,2,4,4772,石丸海渡,finish,33,11,6.80,5,0.06,1.49.9,逃げ,1-4-5,1110,1-4-5,240,1-4,530,1-4,320
大村,2026/2/19,4,3,5,3623,深川真二,finish,24,19,6.85,2,0.17,1.52.0,逃げ,1-4-5,1110,1-4-5,240,1-4,530,1-4,320
大村,2026/2/19,4,4,2,4803,飯田庄吾,finish,35,28,6.84,3,0.15,1.52.9,逃げ,1-4-5,1110,1-4-5,240,1-4,530,1-4,320
大村,2026/2/19,4,5,6,5086,本村大,finish,47,26,6.78,6,0.13,. .,逃げ,1-4-5,1110,1-4-5,240,1-4,530,1-4,320
大村,2026/2/19,4,6,3,4065,金田幸子,finish,49,15,6.89,4,0.20,. .,逃げ,1-4-5,1110,1-4-5,240,1-4,530,1-4,320
大村,2026/2/19,5,1,1,4264,長尾章平,finish,36,57,6.83,1,0.08,1.49.0,逃げ,1-3-6,440,1-3-6,230,1-3,200,1-3,240
大村,2026/2/19,5,2,3,4388,是澤孝宏,finish,28,43,6.78,3,0.09,1.49.7,逃げ,1-3-6,440,1-3-6,230,1-3,200,1-3,240
大村,2026/2/19,5,3,6,4036,金田諭,finish,65,60,6.78,6,0.14,1.51.3,逃げ,1-3-6,440,1-3-6,230,1-3,200,1-3,240
大村,2026/2/19,5,4,2,3863,海老澤泰行,finish,70,48,6.83,2,0.16,1.53.0,逃げ,1-3-6,440,1-3-6,230,1-3,200,1-3,240
