会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/6/18,1,1,5,4042,丸岡正典,finish,44,64,6.95,5,0.17,1.50.5,まくり差し,5-1-6,9140,1-5-6,1550,5-1,3040,1-5,870
大村,2026/6/18,1,2,1,4966,田川大貴,finish,80,16,7.02,1,0.18,1.52.2,まくり差し,5-1-6,9140,1-5-6,1550,5-1,3040,1-5,870
大村,2026/6/18,1,3,6,4095,福来剛,finish,38,31,6.87,6,0.15,1.53.0,まくり差し,5-1-6,9140,1-5-6,1550,5-1,3040,1-5,870
大村,2026/6/18,1,4,3,4804,高田ひかる,finish,62,11,6.88,3,0.20,1.54.5,まくり差し,5-1-6,9140,1-5-6,1550,5-1,3040,1-5,870
大村,2026/6/18,1,5,4,3777,樋口亮,finish,66,13,6.99,4,0.31,. .,まくり差し,5-1-6,9140,1-5-6,1550,5-1,3040,1-5,870
大村,2026/6/18,1,6,2,5002,上田健太,finish,30,15,6.96,2,0.24,. .,まくり差し,5-1-6,9140,1-5-6,1550,5-1,3040,1-5,870
大村,2026/6/18,2,1,1,4241,大串重幸,finish,54,32,6.97,1,0.08,1.51.4,逃げ,1-4-5,2370,1-4-5,770,1-4,840,1-4,590
大村,2026/6/18,2,2,4,4590,渡邉優美,finish,34,73,6.94,4,0.17,1.51.6,逃げ,1-4-5,2370,1-4-5,770,1-4,840,1-4,590
大村,2026/6/18,2,3,5,3854,吉川元浩,finish,47,37,6.91,5,0.16,1.53.1,逃げ,1-4-5,2370,1-4-5,770,1-4,840,1-4,590
大村,2026/6/18,2,4,2,4420,津久井拓也,finish,46,46,6.93,2,0.16,1.54.3,逃げ,1-4-5,2370,1-4-5,770,1-4,840,1-4,590
大村,2026/6/18,2,5,3,5087,佐藤航,finish,25,51,6.98,3,0.18,. .,逃げ,1-4-5,2370,1-4-5,770,1-4,840,1-4,590
大村,2026/6/18,2,6,6,5055,眞鳥章太,finish,69,66,7.01,6,0.19,. .,逃げ,1-4-5,2370,1-4-5,770,1-4,840,1-4,590
大村,2026/6/18,3,1,1,4659,木下翔太,finish,45,48,6.97,1,0.14,1.50.8,逃げ,1-3-2,1080,1-2-3,580,1-3,260,1-3,240
大村,2026/6/18,3,2,3,4991,宗行治哉,finish,63,74,6.90,3,0.15,1.51.9,逃げ,1-3-2,1080,1-2-3,580,1-3,260,1-3,240
大村,2026/6/18,3,3,2,4531,武富智亮,finish,40,27,7.03,2,0.16,1.53.4,逃げ,1-3-2,1080,1-2-3,580,1-3,260,1-3,240
大村,2026/6/18,3,4,6,4352,下條雄太郎,finish,17,62,6.96,6,0.15,1.54.0,逃げ,1-3-2,1080,1-2-3,580,1-3,260,1-3,240
大村,2026/6/18,3,5,4,5075,中島秀治,finish,52,56,7.00,4,0.18,. .,逃げ,1-3-2,1080,1-2-3,580,1-3,260,1-3,240
大村,2026/6/18,3,6,5,5104,山田丈,finish,36,58,6.97,5,0.17,. .,逃げ,1-3-2,1080,1-2-3,580,1-3,260,1-3,240
大村,2026/6/18,4,1,3,4908,上田龍星,finish,64,85,6.97,3,0.12,1.50.2,まくり差し,3-1-6,5550,1-3-6,1470,3-1,690,1-3,290
大村,2026/6/18,4,2,1,3944,山口裕二,finish,53,59,6.96,1,0.16,1.52.2,まくり差し,3-1-6,5550,1-3-6,1470,3-1,690,1-3,290
大村,2026/6/18,4,3,6,3388,今垣光太郎,finish,32,29,6.91,5,0.13,1.52.7,まくり差し,3-1-6,5550,1-3-6,1470,3-1,690,1-3,290
大村,2026/6/18,4,4,5,5042,畑田汰一,finish,49,57,6.95,4,0.16,1.53.1,まくり差し,3-1-6,5550,1-3-6,1470,3-1,690,1-3,290
大村,2026/6/18,4,5,2,4227,安達裕樹,finish,43,34,6.96,2,0.09,. .,まくり差し,3-1-6,5550,1-3-6,1470,3-1,690,1-3,290
大村,2026/6/18,4,6,4,4704,河野大,finish,57,14,6.95,6,0.12,. .,まくり差し,3-1-6,5550,1-3-6,1470,3-1,690,1-3,290
大村,2026/6/18,5,1,1,4290,稲田浩二,finish,41,72,6.91,1,0.10,1.50.8,逃げ,1-5-2,2450,1-2-5,850,1-5,410,1-5,330
大村,2026/6/18,5,2,5,3959,坪井康晴,finish,70,43,6.89,5,0.18,1.51.8,逃げ,1-5-2,2450,1-2-5,850,1-5,410,1-5,330
大村,2026/6/18,5,3,2,4553,坪口竜也,finish,15,65,6.99,2,0.15,1.52.9,逃げ,1-5-2,2450,1-2-5,850,1-5,410,1-5,330
