会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2025/8/29,1,1,4,4934,佐々木翔斗,finish,58,25,6.96,4,0.21,1.55.4,まくり,4-2-6,7370,2-4-6,2030,4-2,2040,2-4,1340
大村,2025/8/29,1,2,2,3539,金子順一,finish,47,38,6.93,2,0.31,1.56.8,まくり,4-2-6,7370,2-4-6,2030,4-2,2040,2-4,1340
大村,2025/8/29,1,3,6,3432,宮迫暢彦,finish,53,20,6.88,6,0.26,1.58.2,まくり,4-2-6,7370,2-4-6,2030,4-2,2040,2-4,1340
大村,2025/8/29,1,4,1,4866,橋本英一,finish,30,39,6.96,1,0.25,2.00.2,まくり,4-2-6,7370,2-4-6,2030,4-2,2040,2-4,1340
大村,2025/8/29,1,5,3,3797,岩井繁,finish,22,37,6.94,3,0.26,. .,まくり,4-2-6,7370,2-4-6,2030,4-2,2040,2-4,1340
大村,2025/8/29,1,,5,4402,乙藤智史,S1,,,,,,,,,,,,,,,
大村,2025/8/29,2,1,4,3898,平田忠則,finish,74,32,6.93,4,0.11,1.50.2,まくり,4-2-3,8770,2-3-4,1690,4-2,880,2-4,380
大村,2025/8/29,2,2,2,5027,重冨勇哉,finish,56,66,6.90,2,0.13,1.52.2,まくり,4-2-3,8770,2-3-4,1690,4-2,880,2-4,380
大村,2025/8/29,2,3,3,4909,薮内瑞希,finish,68,78,6.93,3,0.15,1.52.9,まくり,4-2-3,8770,2-3-4,1690,4-2,880,2-4,380
大村,2025/8/29,2,4,5,4159,向後龍一,finish,60,77,6.97,5,0.18,1.53.6,まくり,4-2-3,8770,2-3-4,1690,4-2,880,2-4,380
大村,2025/8/29,2,5,1,4031,飯島誠,finish,14,16,6.98,1,0.07,. .,まくり,4-2-3,8770,2-3-4,1690,4-2,880,2-4,380
大村,2025/8/29,2,6,6,3489,大場敏,finish,36,15,6.95,6,0.16,. .,まくり,4-2-3,8770,2-3-4,1690,4-2,880,2-4,380
大村,2025/8/29,3,1,1,4423,坂口貴彦,finish,34,63,6.96,1,0.13,1.50.2,逃げ,1-3-4,730,1-3-4,370,1-3,390,1-3,230
大村,2025/8/29,3,2,3,4700,金子和之,finish,52,69,6.94,3,0.11,1.51.5,逃げ,1-3-4,730,1-3-4,370,1-3,390,1-3,230
大村,2025/8/29,3,3,4,4581,吉村誠,finish,25,52,6.97,4,0.12,1.53.4,逃げ,1-3-4,730,1-3-4,370,1-3,390,1-3,230
大村,2025/8/29,3,4,2,4948,木場悠介,finish,39,24,7.00,2,0.17,1.54.9,逃げ,1-3-4,730,1-3-4,370,1-3,390,1-3,230
大村,2025/8/29,3,5,5,3503,堂原洋史,finish,40,17,6.97,5,0.16,. .,逃げ,1-3-4,730,1-3-4,370,1-3,390,1-3,230
大村,2025/8/29,3,6,6,4180,上野秀和,finish,15,54,6.96,6,0.21,. .,逃げ,1-3-4,730,1-3-4,370,1-3,390,1-3,230
大村,2025/8/29,4,1,5,4352,下條雄太郎,finish,66,35,6.94,5,0.12,1.49.3,まくり,5-1-3,7290,1-3-5,990,5-1,890,1-5,500
大村,2025/8/29,4,2,1,4390,松本弓雄,finish,33,48,6.96,1,0.28,1.52.8,まくり,5-1-3,7290,1-3-5,990,5-1,890,1-5,500
大村,2025/8/29,4,3,3,5292,佐藤右京,finish,35,27,7.00,3,0.25,1.54.2,まくり,5-1-3,7290,1-3-5,990,5-1,890,1-5,500
大村,2025/8/29,4,4,6,5055,眞鳥章太,finish,32,23,6.97,6,0.09,1.54.5,まくり,5-1-3,7290,1-3-5,990,5-1,890,1-5,500
大村,2025/8/29,4,5,4,3602,奥平拓也,finish,59,47,7.04,4,0.19,. .,まくり,5-1-3,7290,1-3-5,990,5-1,890,1-5,500
大村,2025/8/29,4,6,2,5272,松田真実,finish,50,26,6.92,2,0.25,. .,まくり,5-1-3,7290,1-3-5,990,5-1,890,1-5,500
大村,2025/8/29,5,1,6,4320,峰竜太,finish,27,45,6.86,2,0.19,1.50.3,抜き,6-1-2,680,1-2-6,220,6-1,360,1-6,220
大村,2025/8/29,5,2,1,3546,中里昌志,finish,18,40,6.94,1,0.22,1.52.0,抜き,6-1-2,680,1-2-6,220,6-1,360,1-6,220
大村,2025/8/29,5,3,2,4702,三浦敬太,finish,64,50,6.98,3,0.27,1.52.8,抜き,6-1-2,680,1-2-6,220,6-1,360,1-6,220
大村,2025/8/29,5,4,4,4950,高岡竜也,finish,17,61,6.92,5,0.19,1.54.6,抜き,6-1-2,680,1-2-6,220,6-1,360,1-6,220
大村,2025/8/29,5,5,5,5117,冨名腰桃奈,finish,55,51,7.06,6,0.26,. .,抜き,6-1-2,680,1-2-6,220,6-1,360,1-6,220
大村,2025/8/29,5,6,3,5237,永松良教,finish,67,57,6.99,4,0.16,. .,抜き,6-1-2,680,1-2-6,220,6-1,360,1-6,220
大村,2025/8/29,6,1,1,3808,秋田健太郎,finish,44,36,6.98,1,0.16,1.49.8,逃げ,1-2-4,5800,1-2-4,1740,1-2,810,1-2,570
大村,2025/8/29,6,2,2,4994,山本梨菜,finish,76,11,6.93,3,0.14,1.50.4,逃げ,1-2-4,5800,1-2-4,1740,1-2,810,1-2,570
大村,2025/8/29,6,3,4,4112,大久保信一郎,finish,63,68,6.95,5,0.16,1.51.3,逃げ,1-2-4,5800,1-2-4,1740,1-2,810,1-2,570
大村,2025/8/29,6,4,6,4566,塩田北斗,finish,24,13,6.92,6,0.18,1.53.6,逃げ,1-2-4,5800,1-2-4,1740,1-2,810,1-2,570
大村,2025/8/29,6,5,3,4598,加藤政彦,finish,65,12,6.99,4,0.14,. .,逃げ,1-2-4,5800,1-2-4,1740,1-2,810,1-2,570
大村,2025/8/29,6,6,5,3539,金子順一,finish,47,38,6.94,2,0.17,. .,逃げ,1-2-4,5800,1-2-4,1740,1-2,810,1-2,570
大村,2025/8/29,7,1,1,3915,繁野谷圭介,finish,23,71,6.86,1,0.16,1.49.8,逃げ,1-3-2,530,1-2-3,140,1-3,240,1-3,320
大村,2025/8/29,7,2,3,4537,渡邉和将,finish,46,33,6.83,3,0.19,1.51.7,逃げ,1-3-2,530,1-2-3,140,1-3,240,1-3,320
大村,2025/8/29,7,3,2,4682,大上卓人,finish,54,28,6.89,2,0.14,1.52.9,逃げ,1-3-2,530,1-2-3,140,1-3,240,1-3,320
大村,2025/8/29,7,4,6,5027,重冨勇哉,finish,56,66,6.92,6,0.29,1.54.0,逃げ,1-3-2,530,1-2-3,140,1-3,240,1-3,320
大村,2025/8/29,7,5,4,4234,野相弘司,finish,71,56,6.96,4,0.22,. .,逃げ,1-3-2,530,1-2-3,140,1-3,240,1-3,320
大村,2025/8/29,7,6,5,4866,橋本英一,finish,30,39,6.86,5,0.21,. .,逃げ,1-3-2,530,1-2-3,140,1-3,240,1-3,320
大村,2025/8/29,8,1,1,4314,青木幸太郎,finish,75,34,6.93,1,0.07,1.50.4,逃げ,1-2-5,530,1-2-5,190,1-2,270,1-2,180
大村,2025/8/29,8,2,2,4812,西野雄貴,finish,73,73,6.88,2,0.11,1.50.9,逃げ,1-2-5,530,1-2-5,190,1-2,270,1-2,180
大村,2025/8/29,8,3,5,4760,山崎郡,finish,38,19,6.88,5,0.07,1.52.2,逃げ,1-2-5,530,1-2-5,190,1-2,270,1-2,180
大村,2025/8/29,8,4,4,4031,飯島誠,finish,14,16,6.97,4,0.07,1.52.7,逃げ,1-2-5,530,1-2-5,190,1-2,270,1-2,180
大村,2025/8/29,8,5,3,3432,宮迫暢彦,finish,53,20,6.88,3,0.02,. .,逃げ,1-2-5,530,1-2-5,190,1-2,270,1-2,180
大村,2025/8/29,8,6,6,3503,堂原洋史,finish,40,17,6.90,6,0.07,. .,逃げ,1-2-5,530,1-2-5,190,1-2,270,1-2,180
大村,2025/8/29,9,1,1,4447,深川麻奈美,finish,61,75,6.92,1,0.04,1.49.2,逃げ,1-2-3,720,1-2-3,280,1-2,340,1-2,410
大村,2025/8/29,9,2,2,5165,小林愛実,finish,45,70,6.89,2,0.08,1.49.5,逃げ,1-2-3,720,1-2-3,280,1-2,340,1-2,410
大村,2025/8/29,9,3,3,4501,樋口由加里,finish,57,22,6.92,3,0.14,1.52.1,逃げ,1-2-3,720,1-2-3,280,1-2,340,1-2,410
大村,2025/8/29,9,4,5,5230,石原凪紗,finish,16,64,6.84,5,0.14,1.53.3,逃げ,1-2-3,720,1-2-3,280,1-2,340,1-2,410
大村,2025/8/29,9,5,6,4909,薮内瑞希,finish,68,78,6.92,6,0.12,. .,逃げ,1-2-3,720,1-2-3,280,1-2,340,1-2,410
大村,2025/8/29,9,6,4,5272,松田真実,finish,50,26,6.88,4,0.15,. .,逃げ,1-2-3,720,1-2-3,280,1-2,340,1-2,410
大村,2025/8/29,10,1,2,4959,井上忠政,finish,28,58,6.82,2,0.15,1.48.7,まくり,2-3-1,9830,1-2-3,180,2-3,5340,2-3,3130
大村,2025/8/29,10,2,3,3489,大場敏,finish,36,15,6.93,3,0.15,1.50.5,まくり,2-3-1,9830,1-2-3,180,2-3,5340,2-3,3130
大村,2025/8/29,10,3,1,4547,中田竜太,finish,31,60,6.88,1,0.27,1.52.4,まくり,2-3-1,9830,1-2-3,180,2-3,5340,2-3,3130
大村,2025/8/29,10,4,6,4402,乙藤智史,finish,49,65,6.92,6,0.16,1.53.5,まくり,2-3-1,9830,1-2-3,180,2-3,5340,2-3,3130
大村,2025/8/29,10,5,4,3546,中里昌志,finish,18,40,6.91,4,0.19,. .,まくり,2-3-1,9830,1-2-3,180,2-3,5340,2-3,3130
大村,2025/8/29,10,6,5,4423,坂口貴彦,finish,34,63,6.90,5,0.19,. .,まくり,2-3-1,9830,1-2-3,180,2-3,5340,2-3,3130
大村,2025/8/29,11,1,2,5055,眞鳥章太,finish,32,23,6.94,2,0.04,1.49.7,抜き,2-4-1,62060,1-2-4,3270,2-4,14810,2-4,7150
大村,2025/8/29,11,2,4,4159,向後龍一,finish,60,77,6.90,4,0.09,1.50.3,抜き,2-4-1,62060,1-2-4,3270,2-4,14810,2-4,7150
大村,2025/8/29,11,3,1,4934,佐々木翔斗,finish,58,25,6.90,1,0.02,1.50.8,抜き,2-4-1,62060,1-2-4,3270,2-4,14810,2-4,7150
大村,2025/8/29,11,4,3,4320,峰竜太,finish,27,45,6.85,3,0.08,1.51.7,抜き,2-4-1,62060,1-2-4,3270,2-4,14810,2-4,7150
大村,2025/8/29,11,5,6,4948,木場悠介,finish,39,24,6.89,6,0.12,. .,抜き,2-4-1,62060,1-2-4,3270,2-4,14810,2-4,7150
大村,2025/8/29,11,6,5,4598,加藤政彦,finish,65,12,6.88,5,0.12,. .,抜き,2-4-1,62060,1-2-4,3270,2-4,14810,2-4,7150
大村,2025/8/29,12,1,1,4352,下條雄太郎,finish,66,35,6.93,1,0.12,1.48.0,逃げ,1-2-6,1550,1-2-6,820,1-2,190,1-2,150
大村,2025/8/29,12,2,2,3898,平田忠則,finish,74,32,6.88,2,0.13,1.49.4,逃げ,1-2-6,1550,1-2-6,820,1-2,190,1-2,150
大村,2025/8/29,12,3,6,4700,金子和之,finish,52,69,6.91,6,0.12,1.51.6,逃げ,1-2-6,1550,1-2-6,820,1-2,190,1-2,150
大村,2025/8/29,12,4,3,4950,高岡竜也,finish,17,61,6.91,3,0.10,1.52.0,逃げ,1-2-6,1550,1-2-6,820,1-2,190,1-2,150
大村,2025/8/29,12,5,4,4994,山本梨菜,finish,76,11,6.87,4,0.14,. .,逃げ,1-2-6,1550,1-2-6,820,1-2,190,1-2,150
大村,2025/8/29,12,6,5,3915,繁野谷圭介,finish,23,71,6.92,5,0.15,. .,逃げ,1-2-6,1550,1-2-6,820,1-2,190,1-2,150
若松,2025/8/29,1,1,3,4030,森高一真,finish,10,39,6.94,4,0.05,1.50.8,まくり差し,3-2-5,9850,2-3-5,2800,3-2,2550,2-3,1180
若松,2025/8/29,1,2,2,4719,上條暢嵩,finish,49,20,6.89,2,0.06,1.51.8,まくり差し,3-2-5,9850,2-3-5,2800,3-2,2550,2-3,1180
若松,2025/8/29,1,3,5,4494,河合佑樹,finish,40,29,6.97,6,0.17,1.53.5,まくり差し,3-2-5,9850,2-3-5,2800,3-2,2550,2-3,1180
若松,2025/8/29,1,4,1,4932,新開航,finish,58,30,6.92,1,0.21,1.54.9,まくり差し,3-2-5,9850,2-3-5,2800,3-2,2550,2-3,1180
若松,2025/8/29,1,5,4,3388,今垣光太郎,finish,37,63,7.01,5,0.09,. .,まくり差し,3-2-5,9850,2-3-5,2800,3-2,2550,2-3,1180
若松,2025/8/29,1,6,6,4371,西山貴浩,finish,7,75,7.04,3,0.00,. .,まくり差し,3-2-5,9850,2-3-5,2800,3-2,2550,2-3,1180
若松,2025/8/29,2,1,1,4848,仲谷颯仁,finish,12,28,6.80,1,0.11,1.49.5,逃げ,1-3-2,1300,1-2-3,580,1-3,380,1-3,250
若松,2025/8/29,2,2,3,4586,磯部誠,finish,36,57,6.85,3,0.11,1.51.6,逃げ,1-3-2,1300,1-2-3,580,1-3,380,1-3,250
若松,2025/8/29,2,3,2,4502,遠藤エミ,finish,59,65,6.94,2,0.16,1.52.9,逃げ,1-3-2,1300,1-2-3,580,1-3,380,1-3,250
若松,2025/8/29,2,4,6,3719,辻栄蔵,finish,48,35,6.92,6,0.11,1.54.1,逃げ,1-3-2,1300,1-2-3,580,1-3,380,1-3,250
若松,2025/8/29,2,5,5,3978,齊藤仁,finish,26,14,6.85,5,0.10,. .,逃げ,1-3-2,1300,1-2-3,580,1-3,380,1-3,250
若松,2025/8/29,2,6,4,4362,土屋智則,finish,17,54,6.91,4,0.10,. .,逃げ,1-3-2,1300,1-2-3,580,1-3,380,1-3,250
若松,2025/8/29,3,1,2,4350,篠崎元志,finish,32,48,6.90,2,0.08,1.50.8,まくり,2-4-3,54200,2-3-4,7820,2-4,8900,2-4,5420
若松,2025/8/29,3,2,4,4337,平本真之,finish,23,69,6.91,4,0.19,1.51.5,まくり,2-4-3,54200,2-3-4,7820,2-4,8900,2-4,5420
若松,2025/8/29,3,3,3,3415,松井繁,finish,45,64,6.94,3,0.09,1.53.8,まくり,2-4-3,54200,2-3-4,7820,2-4,8900,2-4,5420
若松,2025/8/29,3,4,6,4445,宮地元輝,finish,61,21,6.87,6,0.06,1.54.5,まくり,2-4-3,54200,2-3-4,7820,2-4,8900,2-4,5420
若松,2025/8/29,3,5,1,4324,海野康志郎,finish,35,11,6.89,1,0.14,. .,まくり,2-4-3,54200,2-3-4,7820,2-4,8900,2-4,5420
若松,2025/8/29,3,6,5,4851,関浩哉,finish,11,46,6.87,5,0.11,. .,まくり,2-4-3,54200,2-3-4,7820,2-4,8900,2-4,5420
若松,2025/8/29,4,1,1,4237,大峯豊,finish,42,53,6.82,1,0.14,1.49.8,逃げ,1-3-2,1300,1-2-3,310,1-3,440,1-3,480
若松,2025/8/29,4,2,3,4914,吉田裕平,finish,21,73,6.89,3,0.09,1.51.6,逃げ,1-3-2,1300,1-2-3,310,1-3,440,1-3,480
若松,2025/8/29,4,3,2,4344,新田雄史,finish,6,55,6.86,2,0.08,1.52.8,逃げ,1-3-2,1300,1-2-3,310,1-3,440,1-3,480
若松,2025/8/29,4,4,6,4497,桑原悠,finish,20,43,6.91,6,0.14,1.54.3,逃げ,1-3-2,1300,1-2-3,310,1-3,440,1-3,480
若松,2025/8/29,4,5,5,4444,桐生順平,finish,51,31,6.94,5,0.13,. .,逃げ,1-3-2,1300,1-2-3,310,1-3,440,1-3,480
若松,2025/8/29,4,6,4,4205,山口剛,finish,33,70,6.87,4,0.08,. .,逃げ,1-3-2,1300,1-2-3,310,1-3,440,1-3,480
若松,2025/8/29,5,1,1,4757,山田祐也,finish,18,42,6.94,1,0.21,1.49.5,抜き,1-3-6,5410,1-3-6,2440,1-3,880,1-3,940
若松,2025/8/29,5,2,3,3779,原田幸哉,finish,5,66,6.90,3,0.16,1.51.3,抜き,1-3-6,5410,1-3-6,2440,1-3,880,1-3,940
若松,2025/8/29,5,3,6,3941,池田浩二,finish,24,17,6.85,6,0.18,1.52.9,抜き,1-3-6,5410,1-3-6,2440,1-3,880,1-3,940
若松,2025/8/29,5,4,5,4686,丸野一樹,finish,25,45,6.90,5,0.18,1.54.3,抜き,1-3-6,5410,1-3-6,2440,1-3,880,1-3,940
若松,2025/8/29,5,5,2,4524,深谷知博,finish,30,18,6.83,2,0.22,. .,抜き,1-3-6,5410,1-3-6,2440,1-3,880,1-3,940
若松,2025/8/29,5,6,4,4482,守屋美穂,finish,41,68,6.81,4,0.15,. .,抜き,1-3-6,5410,1-3-6,2440,1-3,880,1-3,940
若松,2025/8/29,6,1,1,4290,稲田浩二,finish,38,44,6.85,1,0.06,1.50.4,逃げ,1-3-2,790,1-2-3,300,1-3,280,1-3,230
若松,2025/8/29,6,2,3,3783,瓜生正義,finish,14,52,6.80,3,0.19,1.51.7,逃げ,1-3-2,790,1-2-3,300,1-3,280,1-3,230
若松,2025/8/29,6,3,2,4573,佐藤翼,finish,47,67,6.86,2,0.13,1.53.1,逃げ,1-3-2,790,1-2-3,300,1-3,280,1-3,230
