会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/2/20,1,1,2,3769,佐竹恒彦,finish,71,20,6.87,2,0.12,1.58.8,差し,2-4-1,11080,1-2-4,880,2-4,3920,2-4,1200
大村,2026/2/20,1,2,4,5047,國分将太郎,finish,74,63,6.86,4,0.09,1.59.4,差し,2-4-1,11080,1-2-4,880,2-4,3920,2-4,1200
大村,2026/2/20,1,3,1,3973,崎利仁,finish,25,58,6.82,1,0.12,2.03.4,差し,2-4-1,11080,1-2-4,880,2-4,3920,2-4,1200
大村,2026/2/20,1,4,5,4988,牟田奨太,finish,68,53,6.93,5,0.07,2.07.3,差し,2-4-1,11080,1-2-4,880,2-4,3920,2-4,1200
大村,2026/2/20,1,5,6,5145,島川海輝,finish,54,37,6.85,6,0.24,. .,差し,2-4-1,11080,1-2-4,880,2-4,3920,2-4,1200
大村,2026/2/20,1,,3,4856,豊田健士郎,S1,,,,,,,,,,,,,,,
大村,2026/2/20,2,1,2,3813,佐藤大介,finish,69,52,6.90,2,0.19,1.49.3,差し,2-6-1,4270,1-2-6,220,2-6,2850,2-6,950
大村,2026/2/20,2,2,6,4754,松尾充,finish,26,70,6.82,6,0.17,1.50.1,差し,2-6-1,4270,1-2-6,220,2-6,2850,2-6,950
大村,2026/2/20,2,3,1,4388,是澤孝宏,finish,28,43,6.81,1,0.17,1.51.1,差し,2-6-1,4270,1-2-6,220,2-6,2850,2-6,950
大村,2026/2/20,2,4,5,4803,飯田庄吾,finish,35,28,6.86,5,0.18,1.53.1,差し,2-6-1,4270,1-2-6,220,2-6,2850,2-6,950
大村,2026/2/20,2,5,4,5086,本村大,finish,47,26,6.80,4,0.15,. .,差し,2-6-1,4270,1-2-6,220,2-6,2850,2-6,950
大村,2026/2/20,2,6,3,5200,筒井美琴,finish,22,46,6.86,3,0.27,. .,差し,2-6-1,4270,1-2-6,220,2-6,2850,2-6,950
大村,2026/2/20,3,1,5,3744,徳増秀樹,finish,50,76,6.77,5,0.17,1.49.0,まくり差し,5-1-3,2300,1-3-5,200,5-1,1250,1-5,900
大村,2026/2/20,3,2,1,3863,海老澤泰行,finish,70,48,6.85,1,0.13,1.50.6,まくり差し,5-1-3,2300,1-3-5,200,5-1,1250,1-5,900
大村,2026/2/20,3,3,3,3576,白水勝也,finish,73,49,6.84,3,0.14,1.51.8,まくり差し,5-1-3,2300,1-3-5,200,5-1,1250,1-5,900
大村,2026/2/20,3,4,4,5326,三嶌さらら,finish,41,64,6.83,4,0.20,1.53.8,まくり差し,5-1-3,2300,1-3-5,200,5-1,1250,1-5,900
大村,2026/2/20,3,5,6,3282,池本輝明,finish,53,61,6.84,6,0.25,. .,まくり差し,5-1-3,2300,1-3-5,200,5-1,1250,1-5,900
大村,2026/2/20,3,6,2,4752,西尾亮輔,finish,39,33,6.85,2,0.17,. .,まくり差し,5-1-3,2300,1-3-5,200,5-1,1250,1-5,900
大村,2026/2/20,4,1,1,4065,金田幸子,finish,49,15,6.88,1,0.20,1.48.5,逃げ,1-2-4,1160,1-2-4,320,1-2,480,1-2,360
大村,2026/2/20,4,2,2,4075,中野次郎,finish,57,36,6.83,2,0.12,1.50.4,逃げ,1-2-4,1160,1-2-4,320,1-2,480,1-2,360
大村,2026/2/20,4,3,4,4812,西野雄貴,finish,27,31,6.82,4,0.12,1.51.5,逃げ,1-2-4,1160,1-2-4,320,1-2,480,1-2,360
大村,2026/2/20,4,4,5,4761,山田晃大,finish,60,68,6.81,5,0.14,1.53.1,逃げ,1-2-4,1160,1-2-4,320,1-2,480,1-2,360
大村,2026/2/20,4,5,3,3986,沖島広和,finish,43,21,6.76,3,0.14,. .,逃げ,1-2-4,1160,1-2-4,320,1-2,480,1-2,360
大村,2026/2/20,4,6,6,5250,嶋田有里,finish,15,22,6.87,6,0.24,. .,逃げ,1-2-4,1160,1-2-4,320,1-2,480,1-2,360
大村,2026/2/20,5,1,5,4518,大須賀友,finish,62,54,6.74,5,0.04,1.48.8,まくり差し,5-4-3,3000,3-4-5,530,5-4,950,4-5,360
大村,2026/2/20,5,2,4,3623,深川真二,finish,24,19,6.85,1,0.10,1.50.1,まくり差し,5-4-3,3000,3-4-5,530,5-4,950,4-5,360
大村,2026/2/20,5,3,3,4623,中北将史,finish,13,35,6.79,4,0.07,1.51.9,まくり差し,5-4-3,3000,3-4-5,530,5-4,950,4-5,360
大村,2026/2/20,5,4,6,4511,中岡健人,finish,66,56,6.88,6,0.13,1.53.2,まくり差し,5-4-3,3000,3-4-5,530,5-4,950,4-5,360
大村,2026/2/20,5,5,1,4213,重富伸也,finish,72,78,6.83,2,0.09,. .,まくり差し,5-4-3,3000,3-4-5,530,5-4,950,4-5,360
大村,2026/2/20,5,6,2,4817,渡邉翼,finish,31,38,6.88,3,0.16,. .,まくり差し,5-4-3,3000,3-4-5,530,5-4,950,4-5,360
大村,2026/2/20,6,1,1,4607,鶴田勇雄,finish,38,41,6.78,1,0.06,1.48.6,逃げ,1-3-6,1330,1-3-6,600,1-3,500,1-3,510
大村,2026/2/20,6,2,3,4661,中島昂章,finish,58,45,6.81,3,0.13,1.50.3,逃げ,1-3-6,1330,1-3-6,600,1-3,500,1-3,510
大村,2026/2/20,6,3,6,4451,松崎祐太郎,finish,29,65,6.83,4,0.10,1.50.7,逃げ,1-3-6,1330,1-3-6,600,1-3,500,1-3,510
大村,2026/2/20,6,4,4,5254,羽田妃希,finish,14,17,6.81,5,0.11,1.53.4,逃げ,1-3-6,1330,1-3-6,600,1-3,500,1-3,510
大村,2026/2/20,6,5,2,4036,金田諭,finish,65,60,6.79,2,0.12,. .,逃げ,1-3-6,1330,1-3-6,600,1-3,500,1-3,510
大村,2026/2/20,6,6,5,5373,諏訪玲奈,finish,48,24,6.79,6,0.13,. .,逃げ,1-3-6,1330,1-3-6,600,1-3,500,1-3,510
大村,2026/2/20,7,1,1,4700,金子和之,finish,23,50,6.78,1,0.11,1.47.7,逃げ,1-3-5,370,1-3-5,170,1-3,170,1-3,150
