会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
徳山,2026/1/10,1,1,1,4207,松下一也,finish,75,24,6.88,1,0.21,1.51.2,逃げ,1-2-4,690,1-2-4,430,1-2,170,1-2,160
徳山,2026/1/10,1,2,2,4158,木場雄二郎,finish,14,38,6.88,2,0.26,1.51.9,逃げ,1-2-4,690,1-2-4,430,1-2,170,1-2,160
徳山,2026/1/10,1,3,4,3401,上田隆章,finish,55,32,7.01,4,0.28,1.53.9,逃げ,1-2-4,690,1-2-4,430,1-2,170,1-2,160
徳山,2026/1/10,1,4,5,3357,福島陽子,finish,66,44,6.82,5,0.28,1.55.1,逃げ,1-2-4,690,1-2-4,430,1-2,170,1-2,160
徳山,2026/1/10,1,5,3,4176,樋口喜彦,finish,13,71,6.89,3,0.21,. .,逃げ,1-2-4,690,1-2-4,430,1-2,170,1-2,160
徳山,2026/1/10,1,6,6,3784,中島友和,finish,74,37,6.86,6,0.31,. .,逃げ,1-2-4,690,1-2-4,430,1-2,170,1-2,160
徳山,2026/1/10,2,1,1,4772,石丸海渡,finish,67,25,6.92,1,0.07,1.51.3,逃げ,1-3-5,3090,1-3-5,1140,1-3,550,1-3,830
徳山,2026/1/10,2,2,3,3563,堤昇,finish,25,63,6.96,3,0.22,1.52.3,逃げ,1-3-5,3090,1-3-5,1140,1-3,550,1-3,830
徳山,2026/1/10,2,3,5,4934,佐々木翔斗,finish,37,14,6.92,5,0.25,1.53.5,逃げ,1-3-5,3090,1-3-5,1140,1-3,550,1-3,830
徳山,2026/1/10,2,4,2,4347,魚谷香織,finish,26,57,6.89,2,0.23,1.54.1,逃げ,1-3-5,3090,1-3-5,1140,1-3,550,1-3,830
徳山,2026/1/10,2,5,6,4196,田中太一郎,finish,50,18,6.93,6,0.26,. .,逃げ,1-3-5,3090,1-3-5,1140,1-3,550,1-3,830
徳山,2026/1/10,2,6,4,4276,鈴木勝博,finish,71,39,6.92,4,0.32,. .,逃げ,1-3-5,3090,1-3-5,1140,1-3,550,1-3,830
徳山,2026/1/10,3,1,2,5154,村松栄太,finish,73,51,6.88,4,0.23,1.50.1,まくり,2-4-1,6420,1-2-4,290,2-4,2330,2-4,610
徳山,2026/1/10,3,2,4,4418,茅原悠紀,finish,19,29,6.86,5,0.21,1.51.1,まくり,2-4-1,6420,1-2-4,290,2-4,2330,2-4,610
徳山,2026/1/10,3,3,1,4630,岩永雅人,finish,70,23,6.85,1,0.43,1.55.1,まくり,2-4-1,6420,1-2-4,290,2-4,2330,2-4,610
徳山,2026/1/10,3,4,3,4918,川島拓郎,finish,29,61,6.94,3,0.37,1.55.3,まくり,2-4-1,6420,1-2-4,290,2-4,2330,2-4,610
徳山,2026/1/10,3,5,5,4368,山口隆史,finish,60,64,6.98,6,0.24,. .,まくり,2-4-1,6420,1-2-4,290,2-4,2330,2-4,610
徳山,2026/1/10,3,6,6,3627,井上恵一,finish,62,21,6.95,2,0.42,. .,まくり,2-4-1,6420,1-2-4,290,2-4,2330,2-4,610
