会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
唐津,2026/5/14,1,1,1,3951,石川吉鎬,finish,56,2,6.79,1,0.15,1.49.3,逃げ,1-3-2,1850,1-2-3,430,1-3,780,1-3,370
唐津,2026/5/14,1,2,3,3752,宇土泰就,finish,36,33,6.77,3,0.11,1.50.8,逃げ,1-3-2,1850,1-2-3,430,1-3,780,1-3,370
唐津,2026/5/14,1,3,2,4299,中島浩哉,finish,47,9,6.73,2,0.13,1.51.9,逃げ,1-3-2,1850,1-2-3,430,1-3,780,1-3,370
唐津,2026/5/14,1,4,5,5086,本村大,finish,3,5,6.73,5,0.22,1.53.3,逃げ,1-3-2,1850,1-2-3,430,1-3,780,1-3,370
唐津,2026/5/14,1,5,4,4226,村田浩司,finish,53,15,6.76,4,0.11,1.53.3,逃げ,1-3-2,1850,1-2-3,430,1-3,780,1-3,370
唐津,2026/5/14,1,6,6,5395,日高龍之介,finish,50,17,6.70,6,0.16,1.55.5,逃げ,1-3-2,1850,1-2-3,430,1-3,780,1-3,370
唐津,2026/5/14,2,1,1,4684,楠原翔太,finish,46,6,6.76,1,0.01,1.49.3,抜き,1-5-2,4070,1-2-5,680,1-5,2540,1-5,2420
唐津,2026/5/14,2,2,5,5398,鐘ヶ江真司,finish,42,14,6.75,5,0.05,1.50.1,抜き,1-5-2,4070,1-2-5,680,1-5,2540,1-5,2420
唐津,2026/5/14,2,3,2,4475,末永祐輝,finish,55,27,6.70,2,0.04,1.51.2,抜き,1-5-2,4070,1-2-5,680,1-5,2540,1-5,2420
唐津,2026/5/14,2,4,3,5232,樅山拓馬,finish,15,25,6.76,3,0.02,1.53.1,抜き,1-5-2,4070,1-2-5,680,1-5,2540,1-5,2420
唐津,2026/5/14,2,5,4,5312,川辺郭人,finish,54,18,6.68,4,0.06,1.54.3,抜き,1-5-2,4070,1-2-5,680,1-5,2540,1-5,2420
唐津,2026/5/14,2,6,6,4552,杉山勝匡,finish,60,24,6.57,6,0.11,1.57.5,抜き,1-5-2,4070,1-2-5,680,1-5,2540,1-5,2420
唐津,2026/5/14,3,1,1,3574,大神康司,finish,57,34,6.74,1,0.12,1.49.8,逃げ,1-2-5,730,1-2-5,320,1-2,320,1-2,210
唐津,2026/5/14,3,2,2,4978,山田和佐,finish,40,22,6.76,2,0.15,1.50.5,逃げ,1-2-5,730,1-2-5,320,1-2,320,1-2,210
唐津,2026/5/14,3,3,5,4314,青木幸太郎,finish,44,59,6.74,5,0.19,1.51.9,逃げ,1-2-5,730,1-2-5,320,1-2,320,1-2,210
唐津,2026/5/14,3,4,4,5339,石井伸長,finish,17,52,6.78,4,0.17,1.52.1,逃げ,1-2-5,730,1-2-5,320,1-2,320,1-2,210
唐津,2026/5/14,3,5,3,4785,木幡純也,finish,52,4,6.81,3,0.13,1.54.3,逃げ,1-2-5,730,1-2-5,320,1-2,320,1-2,210
唐津,2026/5/14,3,6,6,5429,吉川颯汰,finish,51,43,6.76,6,0.21,1.55.6,逃げ,1-2-5,730,1-2-5,320,1-2,320,1-2,210
唐津,2026/5/14,4,1,1,3696,白井友晴,finish,20,10,6.76,1,0.16,1.49.3,逃げ,1-4-3,1550,1-3-4,190,1-4,1300,1-4,960
唐津,2026/5/14,4,2,4,4119,泥谷一毅,finish,14,12,6.78,4,0.17,1.50.4,逃げ,1-4-3,1550,1-3-4,190,1-4,1300,1-4,960
唐津,2026/5/14,4,3,3,4137,君島秀三,finish,38,23,6.75,3,0.14,1.51.8,逃げ,1-4-3,1550,1-3-4,190,1-4,1300,1-4,960
唐津,2026/5/14,4,4,6,4588,田中京介,finish,27,31,6.75,5,0.13,1.53.1,逃げ,1-4-3,1550,1-3-4,190,1-4,1300,1-4,960
唐津,2026/5/14,4,5,2,3578,塩田雄一,finish,21,13,6.77,2,0.15,1.53.3,逃げ,1-4-3,1550,1-3-4,190,1-4,1300,1-4,960
唐津,2026/5/14,4,6,5,5469,今泉博人,finish,58,46,6.74,6,0.10,1.55.3,逃げ,1-4-3,1550,1-3-4,190,1-4,1300,1-4,960
唐津,2026/5/14,5,1,1,4396,大田直弥,finish,9,19,6.89,1,0.13,1.50.8,逃げ,1-2-3,790,1-2-3,290,1-2,370,1-2,240
唐津,2026/5/14,5,2,2,5000,岡本翔太郎,finish,25,11,6.81,2,0.20,1.51.4,逃げ,1-2-3,790,1-2-3,290,1-2,370,1-2,240
唐津,2026/5/14,5,3,3,4299,中島浩哉,finish,47,9,6.85,3,0.15,1.51.8,逃げ,1-2-3,790,1-2-3,290,1-2,370,1-2,240
唐津,2026/5/14,5,4,4,4665,加藤啓太,finish,33,37,6.84,4,0.17,1.54.1,逃げ,1-2-3,790,1-2-3,290,1-2,370,1-2,240
唐津,2026/5/14,5,5,6,4263,武重雄介,finish,13,16,6.85,6,0.21,1.55.2,逃げ,1-2-3,790,1-2-3,290,1-2,370,1-2,240
唐津,2026/5/14,5,6,5,4728,山口亮,finish,12,28,6.79,5,0.18,1.58.2,逃げ,1-2-3,790,1-2-3,290,1-2,370,1-2,240
唐津,2026/5/14,6,1,5,5395,日高龍之介,finish,50,17,6.79,5,0.12,1.49.0,まくり差し,5-6-1,36660,1-5-6,2060,5-6,12590,5-6,6900
唐津,2026/5/14,6,2,6,4264,長尾章平,finish,7,40,6.83,6,0.18,1.50.3,まくり差し,5-6-1,36660,1-5-6,2060,5-6,12590,5-6,6900
唐津,2026/5/14,6,3,1,4895,門間雄大,finish,4,20,6.81,1,0.12,1.53.0,まくり差し,5-6-1,36660,1-5-6,2060,5-6,12590,5-6,6900
唐津,2026/5/14,6,4,3,5312,川辺郭人,finish,54,18,6.72,3,0.17,1.54.2,まくり差し,5-6-1,36660,1-5-6,2060,5-6,12590,5-6,6900
唐津,2026/5/14,6,5,2,3660,長谷川親王,finish,10,48,6.84,2,0.27,1.56.4,まくり差し,5-6-1,36660,1-5-6,2060,5-6,12590,5-6,6900
唐津,2026/5/14,6,6,4,3832,下田哲也,finish,29,60,6.80,4,0.20,1.58.5,まくり差し,5-6-1,36660,1-5-6,2060,5-6,12590,5-6,6900
唐津,2026/5/14,7,1,3,5339,石井伸長,finish,17,52,6.77,3,0.10,1.49.3,差し,3-6-1,21420,1-3-6,2250,3-6,9720,3-6,8200
唐津,2026/5/14,7,2,6,5242,高山弘斗,finish,39,56,6.84,5,0.06,1.50.8,差し,3-6-1,21420,1-3-6,2250,3-6,9720,3-6,8200
唐津,2026/5/14,7,3,1,4195,前川守嗣,finish,37,47,6.81,1,0.11,1.53.0,差し,3-6-1,21420,1-3-6,2250,3-6,9720,3-6,8200
唐津,2026/5/14,7,4,2,3722,西村秀樹,finish,18,35,6.72,2,0.14,1.54.0,差し,3-6-1,21420,1-3-6,2250,3-6,9720,3-6,8200
