会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/1/22,1,1,3,4251,川崎誠志,finish,11,23,6.65,3,0.21,1.48.2,3-1-6,5320,1-3-6,1520,3-1,800,1-3,400
大村,2026/1/22,1,2,1,3701,大西隆洋,finish,51,70,6.80,1,0.14,1.50.6,3-1-6,5320,1-3-6,1520,3-1,800,1-3,400
大村,2026/1/22,1,3,6,5208,屋良龍紀,finish,21,66,6.72,6,0.11,1.51.4,3-1-6,5320,1-3-6,1520,3-1,800,1-3,400
大村,2026/1/22,1,4,4,4196,田中太一郎,finish,59,40,6.77,4,0.14,1.52.0,3-1-6,5320,1-3-6,1520,3-1,800,1-3,400
大村,2026/1/22,1,5,5,4417,服部剛,finish,55,19,6.80,5,0.15,. .,3-1-6,5320,1-3-6,1520,3-1,800,1-3,400
大村,2026/1/22,1,6,2,4853,前原哉,finish,30,54,6.72,2,0.19,. .,3-1-6,5320,1-3-6,1520,3-1,800,1-3,400
大村,2026/1/22,2,1,1,4898,菊地敬介,finish,57,16,6.83,1,0.22,1.47.9,1-5-6,15700,1-5-6,1530,1-5,4450,1-5,2150
大村,2026/1/22,2,2,5,4372,原田佑実,finish,58,17,6.82,6,0.26,1.49.5,1-5-6,15700,1-5-6,1530,1-5,4450,1-5,2150
大村,2026/1/22,2,3,6,4302,西野翔太,finish,69,27,6.78,2,0.26,1.51.4,1-5-6,15700,1-5-6,1530,1-5,4450,1-5,2150
大村,2026/1/22,2,4,3,3976,内田圭,finish,56,77,6.90,4,0.28,1.52.6,1-5-6,15700,1-5-6,1530,1-5,4450,1-5,2150
大村,2026/1/22,2,5,2,4261,岡祐臣,finish,18,78,6.78,3,0.38,. .,1-5-6,15700,1-5-6,1530,1-5,4450,1-5,2150
大村,2026/1/22,2,6,4,4740,齋藤達希,finish,27,63,6.80,5,0.29,. .,1-5-6,15700,1-5-6,1530,1-5,4450,1-5,2150
大村,2026/1/22,3,1,4,4376,藤田靖弘,finish,32,22,6.80,4,0.21,1.48.8,4-5-2,24390,2-4-5,3370,4-5,2760,4-5,820
大村,2026/1/22,3,2,5,4528,黒井達矢,finish,64,59,6.78,5,0.27,1.50.6,4-5-2,24390,2-4-5,3370,4-5,2760,4-5,820
大村,2026/1/22,3,3,2,4978,山田和佐,finish,37,62,6.77,2,0.29,1.51.6,4-5-2,24390,2-4-5,3370,4-5,2760,4-5,820
大村,2026/1/22,3,4,6,4489,岩川仁士,finish,38,72,6.78,6,0.28,1.52.5,4-5-2,24390,2-4-5,3370,4-5,2760,4-5,820
大村,2026/1/22,3,5,3,4410,井上大輔,finish,34,33,6.80,3,0.30,. .,4-5-2,24390,2-4-5,3370,4-5,2760,4-5,820
