会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/3/21,1,1,1,4976,金山立樹,finish,22,14,6.89,1,0.26,1.50.6,逃げ,1-4-5,5130,1-4-5,3120,1-4,1150,1-4,1030
大村,2026/3/21,1,2,4,4691,水原慎,finish,27,69,6.87,3,0.13,1.51.7,逃げ,1-4-5,5130,1-4-5,3120,1-4,1150,1-4,1030
大村,2026/3/21,1,3,5,4248,岡本大,finish,69,60,6.91,4,0.20,1.53.1,逃げ,1-4-5,5130,1-4-5,3120,1-4,1150,1-4,1030
大村,2026/3/21,1,4,6,4343,村岡賢,finish,11,70,6.80,5,0.16,1.53.3,逃げ,1-4-5,5130,1-4-5,3120,1-4,1150,1-4,1030
大村,2026/3/21,1,5,3,3807,岡部哲,finish,32,28,6.91,2,0.17,. .,逃げ,1-4-5,5130,1-4-5,3120,1-4,1150,1-4,1030
大村,2026/3/21,1,6,2,4552,杉山勝匡,finish,23,32,6.79,6,0.15,. .,逃げ,1-4-5,5130,1-4-5,3120,1-4,1150,1-4,1030
大村,2026/3/21,2,1,1,4656,大崎翔,finish,16,11,6.87,1,0.03,1.50.7,逃げ,1-5-6,8510,1-5-6,4960,1-5,3290,1-5,1430
大村,2026/3/21,2,2,5,4054,福嶋智之,finish,58,38,6.84,5,0.08,1.51.7,逃げ,1-5-6,8510,1-5-6,4960,1-5,3290,1-5,1430
大村,2026/3/21,2,3,6,4009,小林一樹,finish,21,21,6.81,6,0.12,1.52.2,逃げ,1-5-6,8510,1-5-6,4960,1-5,3290,1-5,1430
大村,2026/3/21,2,4,3,4259,真庭明志,finish,24,57,6.85,4,0.07,1.53.7,逃げ,1-5-6,8510,1-5-6,4960,1-5,3290,1-5,1430
大村,2026/3/21,2,5,4,3574,大神康司,finish,63,49,6.93,3,0.04,. .,逃げ,1-5-6,8510,1-5-6,4960,1-5,3290,1-5,1430
大村,2026/3/21,2,6,2,4100,松田隆司,finish,66,50,6.85,2,0.07,. .,逃げ,1-5-6,8510,1-5-6,4960,1-5,3290,1-5,1430
