会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,距離,天候,風向,風速,波高,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
芦屋,2026/5/18,1,1,1,4886,入海馨,finish,6,142,6.77,1,0.13,1.46.9,逃げ,1800,晴,東,1,1,1-2-3,1210,1-2-3,510,1-2,440,1-2,280
芦屋,2026/5/18,1,2,2,4719,上條暢嵩,finish,5,145,6.70,2,0.19,1.47.8,逃げ,1800,晴,東,1,1,1-2-3,1210,1-2-3,510,1-2,440,1-2,280
芦屋,2026/5/18,1,3,3,4030,森高一真,finish,35,159,6.75,3,0.18,1.49.1,逃げ,1800,晴,東,1,1,1-2-3,1210,1-2-3,510,1-2,440,1-2,280
芦屋,2026/5/18,1,4,6,4168,石野貴之,finish,56,136,6.68,6,0.18,1.50.8,逃げ,1800,晴,東,1,1,1-2-3,1210,1-2-3,510,1-2,440,1-2,280
芦屋,2026/5/18,1,5,4,4344,新田雄史,finish,41,118,6.70,4,0.16,1.51.7,逃げ,1800,晴,東,1,1,1-2-3,1210,1-2-3,510,1-2,440,1-2,280
芦屋,2026/5/18,1,6,5,3854,吉川元浩,finish,42,133,6.68,5,0.14,1.53.6,逃げ,1800,晴,東,1,1,1-2-3,1210,1-2-3,510,1-2,440,1-2,280
芦屋,2026/5/18,2,1,1,4539,金子賢志,finish,58,161,6.70,1,0.08,1.46.9,逃げ,1800,晴,東,1,1,1-5-3,6060,1-3-5,1140,1-5,2640,1-5,3240
芦屋,2026/5/18,2,2,5,3721,守田俊介,finish,18,147,6.80,5,0.06,1.47.8,逃げ,1800,晴,東,1,1,1-5-3,6060,1-3-5,1140,1-5,2640,1-5,3240
芦屋,2026/5/18,2,3,3,4851,関浩哉,finish,45,139,6.65,3,0.06,1.49.0,逃げ,1800,晴,東,1,1,1-5-3,6060,1-3-5,1140,1-5,2640,1-5,3240
芦屋,2026/5/18,2,4,6,3960,菊地孝平,finish,54,160,6.68,6,0.08,1.50.5,逃げ,1800,晴,東,1,1,1-5-3,6060,1-3-5,1140,1-5,2640,1-5,3240
芦屋,2026/5/18,2,5,2,5084,末永和也,finish,7,124,6.78,2,0.09,1.51.0,逃げ,1800,晴,東,1,1,1-5-3,6060,1-3-5,1140,1-5,2640,1-5,3240
芦屋,2026/5/18,2,6,4,3388,今垣光太郎,finish,52,140,6.72,4,0.11,1.54.2,逃げ,1800,晴,東,1,1,1-5-3,6060,1-3-5,1140,1-5,2640,1-5,3240
芦屋,2026/5/18,3,1,3,4573,佐藤翼,finish,12,164,6.67,4,0.11,1.45.7,まくり差し,1800,晴,北東,2,2,3-2-4,7670,2-3-4,2210,3-2,3000,2-3,1220
芦屋,2026/5/18,3,2,2,4445,宮地元輝,finish,1,129,6.68,3,0.11,1.48.5,まくり差し,1800,晴,北東,2,2,3-2-4,7670,2-3-4,2210,3-2,3000,2-3,1220
芦屋,2026/5/18,3,3,4,4566,塩田北斗,finish,43,137,6.70,5,0.10,1.49.9,まくり差し,1800,晴,北東,2,2,3-2-4,7670,2-3-4,2210,3-2,3000,2-3,1220
芦屋,2026/5/18,3,4,6,3897,白井英治,finish,30,112,6.74,2,0.23,1.51.1,まくり差し,1800,晴,北東,2,2,3-2-4,7670,2-3-4,2210,3-2,3000,2-3,1220
芦屋,2026/5/18,3,5,5,3719,辻栄蔵,finish,13,165,6.68,6,0.09,1.52.8,まくり差し,1800,晴,北東,2,2,3-2-4,7670,2-3-4,2210,3-2,3000,2-3,1220
芦屋,2026/5/18,3,6,1,4736,高倉和士,finish,53,131,6.70,1,0.16,1.54.5,まくり差し,1800,晴,北東,2,2,3-2-4,7670,2-3-4,2210,3-2,3000,2-3,1220
芦屋,2026/5/18,4,1,1,4504,前田将太,finish,59,120,6.66,1,0.15,1.47.8,逃げ,1800,晴,東,4,4,1-3-4,1520,1-3-4,910,1-3,340,1-3,210
芦屋,2026/5/18,4,2,3,4586,磯部誠,finish,55,144,6.70,3,0.16,1.49.2,逃げ,1800,晴,東,4,4,1-3-4,1520,1-3-4,910,1-3,340,1-3,210
