会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/3/11,1,1,1,4352,下條雄太郎,finish,38,75,6.78,1,0.14,1.48.0,1-3-5,1110,1-3-5,580,1-3,310,1-3,230
大村,2026/3/11,1,2,3,4907,小池修平,finish,57,21,6.77,3,0.11,1.49.4,1-3-5,1110,1-3-5,580,1-3,310,1-3,230
大村,2026/3/11,1,3,5,4832,権藤俊光,finish,64,57,6.82,5,0.18,1.50.5,1-3-5,1110,1-3-5,580,1-3,310,1-3,230
大村,2026/3/11,1,4,2,4532,秋元哲,finish,32,36,6.86,2,0.06,1.51.2,1-3-5,1110,1-3-5,580,1-3,310,1-3,230
大村,2026/3/11,1,5,6,4910,中村泰平,finish,23,43,6.78,6,0.15,. .,1-3-5,1110,1-3-5,580,1-3,310,1-3,230
大村,2026/3/11,1,6,4,4342,谷野錬志,finish,66,30,6.84,4,0.16,. .,1-3-5,1110,1-3-5,580,1-3,310,1-3,230
大村,2026/3/11,2,1,1,4715,村上遼,finish,46,52,6.78,1,0.14,1.47.6,1-5-3,10510,1-3-5,2960,1-5,2420,1-5,1770
大村,2026/3/11,2,2,5,4688,永井彪也,finish,60,32,6.83,5,0.11,1.48.9,1-5-3,10510,1-3-5,2960,1-5,2420,1-5,1770
大村,2026/3/11,2,3,3,3716,石渡鉄兵,finish,22,58,6.80,3,0.14,1.49.8,1-5-3,10510,1-3-5,2960,1-5,2420,1-5,1770
大村,2026/3/11,2,4,2,4504,前田将太,finish,48,35,6.77,2,0.16,1.51.3,1-5-3,10510,1-3-5,2960,1-5,2420,1-5,1770
大村,2026/3/11,2,5,6,4391,松田祐季,finish,63,56,6.81,6,0.10,. .,1-5-3,10510,1-3-5,2960,1-5,2420,1-5,1770
大村,2026/3/11,2,6,4,4659,木下翔太,finish,56,78,6.83,4,0.14,. .,1-5-3,10510,1-3-5,2960,1-5,2420,1-5,1770
大村,2026/3/11,3,1,2,3779,原田幸哉,finish,53,15,6.77,2,0.10,1.48.2,2-1-5,2180,1-2-5,570,2-1,570,1-2,180
大村,2026/3/11,3,2,1,4294,古賀繁輝,finish,52,72,6.81,1,0.11,1.49.5,2-1-5,2180,1-2-5,570,2-1,570,1-2,180
大村,2026/3/11,3,3,5,3388,今垣光太郎,finish,62,49,6.76,5,0.21,1.50.9,2-1-5,2180,1-2-5,570,2-1,570,1-2,180
大村,2026/3/11,3,4,6,4074,柳沢一,finish,34,41,6.72,6,0.15,1.51.5,2-1-5,2180,1-2-5,570,2-1,570,1-2,180
大村,2026/3/11,3,5,4,4759,今泉友吾,finish,21,29,6.75,4,0.23,. .,2-1-5,2180,1-2-5,570,2-1,570,1-2,180
大村,2026/3/11,3,6,3,4798,浜先真範,finish,17,25,6.85,3,0.17,. .,2-1-5,2180,1-2-5,570,2-1,570,1-2,180
大村,2026/3/11,4,1,2,4933,板橋侑我,finish,11,55,6.75,2,0.11,1.47.5,2-1-5,2720,1-2-5,480,2-1,660,1-2,200
大村,2026/3/11,4,2,1,4547,中田竜太,finish,28,18,6.86,1,0.10,1.49.1,2-1-5,2720,1-2-5,480,2-1,660,1-2,200
大村,2026/3/11,4,3,5,4168,石野貴之,finish,50,69,6.74,5,0.21,1.49.9,2-1-5,2720,1-2-5,480,2-1,660,1-2,200
大村,2026/3/11,4,4,4,5257,西丸侑太朗,finish,12,62,6.85,4,0.16,1.51.0,2-1-5,2720,1-2-5,480,2-1,660,1-2,200
大村,2026/3/11,4,5,3,4497,桑原悠,finish,41,27,6.79,3,0.11,. .,2-1-5,2720,1-2-5,480,2-1,660,1-2,200
大村,2026/3/11,4,6,6,4985,井本昌也,finish,49,63,6.87,6,0.21,. .,2-1-5,2720,1-2-5,480,2-1,660,1-2,200
大村,2026/3/11,5,1,1,4831,羽野直也,finish,59,59,6.79,1,0.12,1.47.6,1-5-4,1620,1-4-5,310,1-5,740,1-5,710
大村,2026/3/11,5,2,5,3897,白井英治,finish,36,23,6.78,5,0.13,1.49.0,1-5-4,1620,1-4-5,310,1-5,740,1-5,710
大村,2026/3/11,5,3,4,4719,上條暢嵩,finish,58,40,6.76,4,0.11,1.49.9,1-5-4,1620,1-4-5,310,1-5,740,1-5,710
大村,2026/3/11,5,4,2,5017,澤田尚也,finish,15,74,6.77,2,0.14,1.52.0,1-5-4,1620,1-4-5,310,1-5,740,1-5,710
大村,2026/3/11,5,5,6,5191,飛田江己,finish,24,12,6.75,6,0.12,. .,1-5-4,1620,1-4-5,310,1-5,740,1-5,710
大村,2026/3/11,5,6,3,4174,赤坂俊輔,finish,67,11,6.86,3,0.15,. .,1-5-4,1620,1-4-5,310,1-5,740,1-5,710
大村,2026/3/11,6,1,2,4320,峰竜太,finish,47,47,6.75,2,0.13,1.47.8,2-1-3,1180,1-2-3,300,2-1,470,1-2,200
