会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
芦屋,2026/6/5,1,1,1,4424,松尾昂明,finish,18,167,6.77,1,0.08,1.48.2,逃げ,1-3-2,790,1-2-3,290,1-3,330,1-3,320
芦屋,2026/6/5,1,2,3,4247,齊藤優,finish,14,132,6.83,3,0.07,1.50.1,逃げ,1-3-2,790,1-2-3,290,1-3,330,1-3,320
芦屋,2026/6/5,1,3,2,4336,松田竜馬,finish,4,162,6.85,2,0.08,1.51.8,逃げ,1-3-2,790,1-2-3,290,1-3,330,1-3,320
芦屋,2026/6/5,1,4,5,5023,久永祥平,finish,30,129,6.89,5,0.14,1.52.7,逃げ,1-3-2,790,1-2-3,290,1-3,330,1-3,320
芦屋,2026/6/5,1,5,4,3661,柳瀬興志,finish,48,148,6.83,4,0.06,. .,逃げ,1-3-2,790,1-2-3,290,1-3,330,1-3,320
芦屋,2026/6/5,1,6,6,5446,長嶺真李愛,finish,40,112,6.84,6,0.14,. .,逃げ,1-3-2,790,1-2-3,290,1-3,330,1-3,320
芦屋,2026/6/5,2,1,2,5359,佐藤世那,finish,56,138,6.79,2,0.11,1.48.5,差し,2-5-4,19800,2-4-5,1590,2-5,5730,2-5,3670
芦屋,2026/6/5,2,2,5,3685,荒井輝年,finish,10,166,6.78,5,0.27,1.50.4,差し,2-5-4,19800,2-4-5,1590,2-5,5730,2-5,3670
芦屋,2026/6/5,2,3,4,4109,谷津幸宏,finish,7,124,6.96,4,0.16,1.52.2,差し,2-5-4,19800,2-4-5,1590,2-5,5730,2-5,3670
芦屋,2026/6/5,2,4,6,3381,滝沢芳行,finish,27,117,6.74,6,0.10,1.53.4,差し,2-5-4,19800,2-4-5,1590,2-5,5730,2-5,3670
芦屋,2026/6/5,2,5,1,4601,森野正弘,finish,23,134,6.78,1,0.08,. .,差し,2-5-4,19800,2-4-5,1590,2-5,5730,2-5,3670
芦屋,2026/6/5,2,6,3,3224,栗山繁洋,finish,9,158,6.91,3,0.14,. .,差し,2-5-4,19800,2-4-5,1590,2-5,5730,2-5,3670
芦屋,2026/6/5,3,1,1,4073,大橋純一郎,finish,26,153,6.80,1,0.10,1.49.1,逃げ,1-6-5,3110,1-5-6,1800,1-6,580,1-6,690
芦屋,2026/6/5,3,2,6,3502,渡邉英児,finish,3,133,6.86,4,0.15,1.50.9,逃げ,1-6-5,3110,1-5-6,1800,1-6,580,1-6,690
芦屋,2026/6/5,3,3,5,4684,楠原翔太,finish,6,125,6.88,6,0.24,1.52.3,逃げ,1-6-5,3110,1-5-6,1800,1-6,580,1-6,690
芦屋,2026/6/5,3,4,2,5109,川崎智稔,finish,11,139,6.86,2,0.17,1.53.2,逃げ,1-6-5,3110,1-5-6,1800,1-6,580,1-6,690
芦屋,2026/6/5,3,5,3,4556,竹井奈美,finish,38,161,6.88,3,0.18,. .,逃げ,1-6-5,3110,1-5-6,1800,1-6,580,1-6,690
芦屋,2026/6/5,3,6,4,3459,中野和裕,finish,15,128,6.84,5,0.22,. .,逃げ,1-6-5,3110,1-5-6,1800,1-6,580,1-6,690
芦屋,2026/6/5,4,1,3,5049,松井友汰,finish,21,169,6.86,3,0.06,1.47.8,差し,3-1-4,2300,1-3-4,220,3-1,1370,1-3,160
芦屋,2026/6/5,4,2,1,4357,田中和也,finish,45,122,6.74,1,0.17,1.50.1,差し,3-1-4,2300,1-3-4,220,3-1,1370,1-3,160
芦屋,2026/6/5,4,3,4,4703,森永隆,finish,12,116,6.85,4,0.15,1.50.8,差し,3-1-4,2300,1-3-4,220,3-1,1370,1-3,160
芦屋,2026/6/5,4,4,6,4441,末永由楽,finish,36,150,6.84,6,0.11,1.52.5,差し,3-1-4,2300,1-3-4,220,3-1,1370,1-3,160
芦屋,2026/6/5,4,5,5,5412,久保田凪紗,finish,24,115,6.92,5,0.13,. .,差し,3-1-4,2300,1-3-4,220,3-1,1370,1-3,160
芦屋,2026/6/5,4,6,2,4143,浦田晃嗣,finish,31,119,6.85,2,0.10,. .,差し,3-1-4,2300,1-3-4,220,3-1,1370,1-3,160
芦屋,2026/6/5,5,1,4,5206,梅原祥平,finish,49,164,6.81,4,0.07,1.49.3,まくり,4-1-5,32540,1-4-5,4870,4-1,4490,1-4,1220
芦屋,2026/6/5,5,2,1,3999,大瀧明日香,finish,13,149,6.80,1,0.13,1.50.5,まくり,4-1-5,32540,1-4-5,4870,4-1,4490,1-4,1220
芦屋,2026/6/5,5,3,5,3922,菅沼佳昭,finish,42,111,6.78,5,0.12,1.51.7,まくり,4-1-5,32540,1-4-5,4870,4-1,4490,1-4,1220
芦屋,2026/6/5,5,4,2,4359,横川聖志,finish,17,160,6.96,2,0.17,1.53.6,まくり,4-1-5,32540,1-4-5,4870,4-1,4490,1-4,1220
芦屋,2026/6/5,5,5,6,4910,中村泰平,finish,37,114,6.74,6,0.12,. .,まくり,4-1-5,32540,1-4-5,4870,4-1,4490,1-4,1220
芦屋,2026/6/5,5,6,3,5008,羽野諒,finish,1,140,6.82,3,0.17,. .,まくり,4-1-5,32540,1-4-5,4870,4-1,4490,1-4,1220
芦屋,2026/6/5,6,1,2,4769,馬場剛,finish,2,137,6.86,2,0.05,1.49.0,まくり,2-3-6,990,2-3-6,320,2-3,480,2-3,270
芦屋,2026/6/5,6,2,3,4079,出畑孝典,finish,47,157,6.81,3,0.09,1.50.0,まくり,2-3-6,990,2-3-6,320,2-3,480,2-3,270
芦屋,2026/6/5,6,3,6,5026,安河内健,finish,32,120,6.83,6,0.21,1.51.1,まくり,2-3-6,990,2-3-6,320,2-3,480,2-3,270
