会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
芦屋,2026/5/15,1,1,1,4848,仲谷颯仁,finish,20,123,6.78,1,0.03,1.47.2,1-3-2,860,1-2-3,350,1-3,330,1-3,300
芦屋,2026/5/15,1,2,3,5084,末永和也,finish,7,124,6.80,3,0.11,1.48.8,1-3-2,860,1-2-3,350,1-3,330,1-3,300
芦屋,2026/5/15,1,3,2,4573,佐藤翼,finish,12,164,6.76,2,0.04,1.50.1,1-3-2,860,1-2-3,350,1-3,330,1-3,300
芦屋,2026/5/15,1,4,5,4682,大上卓人,finish,37,153,6.82,5,0.15,1.50.9,1-3-2,860,1-2-3,350,1-3,330,1-3,300
芦屋,2026/5/15,1,5,4,4686,丸野一樹,finish,9,156,6.80,4,0.15,1.51.3,1-3-2,860,1-2-3,350,1-3,330,1-3,300
芦屋,2026/5/15,1,6,6,5267,石本裕武,finish,60,143,6.81,6,0.26,1.54.9,1-3-2,860,1-2-3,350,1-3,330,1-3,300
芦屋,2026/5/15,2,1,1,4939,宮之原輝紀,finish,10,119,6.81,1,0.12,1.46.8,1-2-4,640,1-2-4,320,1-2,340,1-2,220
芦屋,2026/5/15,2,2,2,4544,松田大志郎,finish,31,132,6.75,2,0.11,1.47.6,1-2-4,640,1-2-4,320,1-2,340,1-2,220
芦屋,2026/5/15,2,3,4,4851,関浩哉,finish,45,139,6.79,4,0.18,1.49.3,1-2-4,640,1-2-4,320,1-2,340,1-2,220
芦屋,2026/5/15,2,4,3,4497,桑原悠,finish,19,127,6.80,3,0.12,1.50.3,1-2-4,640,1-2-4,320,1-2,340,1-2,220
芦屋,2026/5/15,2,5,6,4262,馬場貴也,finish,47,154,6.78,6,0.21,1.51.6,1-2-4,640,1-2-4,320,1-2,340,1-2,220
芦屋,2026/5/15,2,6,5,4886,入海馨,finish,6,142,6.81,5,0.17,1.51.9,1-2-4,640,1-2-4,320,1-2,340,1-2,220
芦屋,2026/5/15,3,1,1,4772,石丸海渡,finish,17,138,6.84,1,0.09,1.46.9,1-5-3,1800,1-3-5,420,1-5,890,1-5,720
芦屋,2026/5/15,3,2,5,4344,新田雄史,finish,41,118,6.78,5,0.14,1.48.2,1-5-3,1800,1-3-5,420,1-5,890,1-5,720
芦屋,2026/5/15,3,3,3,4914,吉田裕平,finish,21,125,6.74,3,0.07,1.49.6,1-5-3,1800,1-3-5,420,1-5,890,1-5,720
芦屋,2026/5/15,3,4,2,4736,高倉和士,finish,53,131,6.81,2,0.06,1.50.6,1-5-3,1800,1-3-5,420,1-5,890,1-5,720
芦屋,2026/5/15,3,5,4,3783,瓜生正義,finish,14,121,6.75,4,0.10,1.51.9,1-5-3,1800,1-3-5,420,1-5,890,1-5,720
芦屋,2026/5/15,3,6,6,4953,尾上雅也,finish,29,149,6.77,6,0.16,1.53.9,1-5-3,1800,1-3-5,420,1-5,890,1-5,720
芦屋,2026/5/15,4,1,1,3721,守田俊介,finish,18,147,6.80,1,0.05,1.47.4,1-3-4,1040,1-3-4,640,1-3,380,1-3,320
芦屋,2026/5/15,4,2,3,3719,辻栄蔵,finish,13,165,6.71,3,0.10,1.48.5,1-3-4,1040,1-3-4,640,1-3,380,1-3,320
芦屋,2026/5/15,4,3,4,4477,篠崎仁志,finish,34,122,6.72,4,0.11,1.49.5,1-3-4,1040,1-3-4,640,1-3,380,1-3,320
芦屋,2026/5/15,4,4,5,4013,中島孝平,finish,48,162,6.76,5,0.09,1.50.5,1-3-4,1040,1-3-4,640,1-3,380,1-3,320
芦屋,2026/5/15,4,5,2,4168,石野貴之,finish,56,136,6.66,2,0.12,1.51.3,1-3-4,1040,1-3-4,640,1-3,380,1-3,320
芦屋,2026/5/15,4,6,6,3941,池田浩二,finish,11,152,6.74,6,0.09,1.52.8,1-3-4,1040,1-3-4,640,1-3,380,1-3,320
芦屋,2026/5/15,5,1,4,3897,白井英治,finish,30,112,6.76,4,0.21,1.47.8,4-2-6,29010,2-4-6,3240,4-2,6660,2-4,2620
芦屋,2026/5/15,5,2,2,3779,原田幸哉,finish,51,113,6.75,2,0.25,1.48.7,4-2-6,29010,2-4-6,3240,4-2,6660,2-4,2620
芦屋,2026/5/15,5,3,6,4566,塩田北斗,finish,43,137,6.74,6,0.16,1.49.5,4-2-6,29010,2-4-6,3240,4-2,6660,2-4,2620
芦屋,2026/5/15,5,4,1,3854,吉川元浩,finish,42,133,6.76,1,0.24,1.50.7,4-2-6,29010,2-4-6,3240,4-2,6660,2-4,2620
芦屋,2026/5/15,5,5,3,4760,山崎郡,finish,24,126,6.79,3,0.18,1.51.9,4-2-6,29010,2-4-6,3240,4-2,6660,2-4,2620
