会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/3/10,1,1,1,4497,桑原悠,finish,41,27,6.79,1,0.10,1.48.5,逃げ,1-4-3,1550,1-3-4,480,1-4,610,1-4,510
大村,2026/3/10,1,2,4,4757,山田祐也,finish,73,24,6.85,4,0.18,1.49.5,逃げ,1-4-3,1550,1-3-4,480,1-4,610,1-4,510
大村,2026/3/10,1,3,3,3719,辻栄蔵,finish,71,65,6.83,3,0.14,1.50.5,逃げ,1-4-3,1550,1-3-4,480,1-4,610,1-4,510
大村,2026/3/10,1,4,6,4337,平本真之,finish,44,22,6.82,6,0.16,1.51.3,逃げ,1-4-3,1550,1-3-4,480,1-4,610,1-4,510
大村,2026/3/10,1,5,5,5191,飛田江己,finish,24,12,6.79,5,0.12,. .,逃げ,1-4-3,1550,1-3-4,480,1-4,610,1-4,510
大村,2026/3/10,1,6,2,5257,西丸侑太朗,finish,12,62,6.77,2,0.16,. .,逃げ,1-4-3,1550,1-3-4,480,1-4,610,1-4,510
大村,2026/3/10,2,1,1,4824,松井洪弥,finish,69,71,6.79,1,0.08,1.48.4,逃げ,1-5-4,3720,1-4-5,1010,1-5,640,1-5,550
大村,2026/3/10,2,2,5,3779,原田幸哉,finish,53,15,6.78,5,0.06,1.49.5,逃げ,1-5-4,3720,1-4-5,1010,1-5,640,1-5,550
大村,2026/3/10,2,3,4,4732,堀本和也,finish,18,45,6.82,4,0.10,1.50.5,逃げ,1-5-4,3720,1-4-5,1010,1-5,640,1-5,550
大村,2026/3/10,2,4,6,4645,上村純一,finish,40,77,6.81,6,0.06,1.51.4,逃げ,1-5-4,3720,1-4-5,1010,1-5,640,1-5,550
大村,2026/3/10,2,5,3,4933,板橋侑我,finish,11,55,6.76,3,0.05,. .,逃げ,1-5-4,3720,1-4-5,1010,1-5,640,1-5,550
大村,2026/3/10,2,6,2,5017,澤田尚也,finish,15,74,6.79,2,0.07,. .,逃げ,1-5-4,3720,1-4-5,1010,1-5,640,1-5,550
大村,2026/3/10,3,1,1,4532,秋元哲,finish,32,36,6.81,1,0.07,1.48.5,逃げ,1-2-3,1090,1-2-3,480,1-2,310,1-2,310
大村,2026/3/10,3,2,2,4831,羽野直也,finish,59,59,6.80,2,0.07,1.49.4,逃げ,1-2-3,1090,1-2-3,480,1-2,310,1-2,310
