会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/4/1,1,1,1,4676,後藤隼之,finish,22,22,6.84,1,0.08,1.51.0,1-5-4,6950,1-4-5,1770,1-5,3020,1-5,1570
大村,2026/4/1,1,2,5,4023,柴田友和,finish,16,25,6.93,5,0.16,1.52.3,1-5-4,6950,1-4-5,1770,1-5,3020,1-5,1570
大村,2026/4/1,1,3,4,4895,門間雄大,finish,24,21,6.92,4,0.11,1.53.1,1-5-4,6950,1-4-5,1770,1-5,3020,1-5,1570
大村,2026/4/1,1,4,3,3843,上之晃弘,finish,64,55,6.90,3,0.08,1.54.4,1-5-4,6950,1-4-5,1770,1-5,3020,1-5,1570
大村,2026/4/1,1,5,2,3776,横井健太,finish,12,75,6.90,2,0.09,. .,1-5-4,6950,1-4-5,1770,1-5,3020,1-5,1570
大村,2026/4/1,1,6,6,3054,北川幸典,finish,38,54,6.85,6,0.18,. .,1-5-4,6950,1-4-5,1770,1-5,3020,1-5,1570
大村,2026/4/1,2,1,1,4152,深水慎一郎,finish,62,30,6.82,1,0.17,1.50.1,1-3-4,1200,1-3-4,490,1-3,570,1-3,390
大村,2026/4/1,2,2,3,4535,北山康介,finish,74,52,6.81,3,0.18,1.51.0,1-3-4,1200,1-3-4,490,1-3,570,1-3,390
大村,2026/4/1,2,3,4,5092,篠原晟弥,finish,29,12,6.75,4,0.19,1.51.9,1-3-4,1200,1-3-4,490,1-3,570,1-3,390
大村,2026/4/1,2,4,6,3352,小川晃司,finish,53,66,6.87,6,0.13,1.53.7,1-3-4,1200,1-3-4,490,1-3,570,1-3,390
大村,2026/4/1,2,5,5,3621,天野晶夫,finish,46,74,6.83,5,0.13,. .,1-3-4,1200,1-3-4,490,1-3,570,1-3,390
大村,2026/4/1,2,6,2,5087,佐藤航,finish,71,29,6.80,2,0.14,. .,1-3-4,1200,1-3-4,490,1-3,570,1-3,390
大村,2026/4/1,3,1,3,3822,平尾崇典,finish,25,53,6.77,3,0.15,1.50.1,3-1-6,1300,1-3-6,310,3-1,610,1-3,250
大村,2026/4/1,3,2,1,4555,富永大一,finish,39,36,6.78,1,0.12,1.50.1,3-1-6,1300,1-3-6,310,3-1,610,1-3,250
大村,2026/4/1,3,3,6,3933,山地正樹,finish,60,43,6.85,4,0.19,1.52.2,3-1-6,1300,1-3-6,310,3-1,610,1-3,250
大村,2026/4/1,3,4,4,4708,半田尚也,finish,30,41,6.91,5,0.16,1.54.0,3-1-6,1300,1-3-6,310,3-1,610,1-3,250
大村,2026/4/1,3,5,2,3848,川上聡介,finish,20,17,6.79,2,0.14,. .,3-1-6,1300,1-3-6,310,3-1,610,1-3,250
大村,2026/4/1,3,6,5,5438,星田夢結,finish,14,15,6.85,6,0.20,. .,3-1-6,1300,1-3-6,310,3-1,610,1-3,250
大村,2026/4/1,4,1,2,4958,溝口海義也,finish,34,59,6.76,2,0.08,1.49.4,2-5-3,11540,2-3-5,2450,2-5,3360,2-5,830
大村,2026/4/1,4,2,5,4503,上野真之介,finish,17,27,6.82,5,0.08,1.50.6,2-5-3,11540,2-3-5,2450,2-5,3360,2-5,830
大村,2026/4/1,4,3,3,5310,土屋蘭,finish,58,78,6.80,3,0.04,1.51.4,2-5-3,11540,2-3-5,2450,2-5,3360,2-5,830
大村,2026/4/1,4,4,1,4873,蒲原健太,finish,11,26,6.71,1,0.17,1.53.0,2-5-3,11540,2-3-5,2450,2-5,3360,2-5,830
大村,2026/4/1,4,5,4,3564,桑原啓,finish,33,19,6.79,4,0.12,. .,2-5-3,11540,2-3-5,2450,2-5,3360,2-5,830
大村,2026/4/1,4,6,6,2538,高橋二朗,finish,18,23,6.83,6,0.08,. .,2-5-3,11540,2-3-5,2450,2-5,3360,2-5,830
大村,2026/4/1,5,1,1,3629,浅見昌克,finish,43,63,6.82,1,0.16,1.49.8,1-3-2,1850,1-2-3,850,1-3,240,1-3,260
大村,2026/4/1,5,2,3,3473,石川真二,finish,35,24,6.91,2,0.20,1.51.1,1-3-2,1850,1-2-3,850,1-3,240,1-3,260
大村,2026/4/1,5,3,2,5123,福山恵里奈,finish,66,35,6.84,3,0.25,1.53.1,1-3-2,1850,1-2-3,850,1-3,240,1-3,260
大村,2026/4/1,5,4,4,4345,西舘健,finish,23,58,6.88,4,0.25,1.53.8,1-3-2,1850,1-2-3,850,1-3,240,1-3,260
大村,2026/4/1,5,5,6,4164,岩永節也,finish,15,70,6.86,6,0.29,. .,1-3-2,1850,1-2-3,850,1-3,240,1-3,260
大村,2026/4/1,5,6,5,3860,松本浩貴,finish,48,47,6.83,5,0.37,. .,1-3-2,1850,1-2-3,850,1-3,240,1-3,260
大村,2026/4/1,6,1,1,4515,藤田浩人,finish,49,40,6.82,1,0.12,1.49.7,1-2-6,2830,1-2-6,1320,1-2,350,1-2,290
大村,2026/4/1,6,2,2,4014,片岡恵里,finish,21,18,6.74,2,0.15,1.50.5,1-2-6,2830,1-2-6,1320,1-2,350,1-2,290
大村,2026/4/1,6,3,6,5086,本村大,finish,65,50,6.71,6,0.17,1.53.0,1-2-6,2830,1-2-6,1320,1-2,350,1-2,290
大村,2026/4/1,6,4,3,3054,北川幸典,finish,38,54,6.77,3,0.18,1.53.1,1-2-6,2830,1-2-6,1320,1-2,350,1-2,290
大村,2026/4/1,6,5,4,4949,横田貴満,finish,26,11,6.82,4,0.24,. .,1-2-6,2830,1-2-6,1320,1-2,350,1-2,290
